repeat,fold,left_stage,right_stage,left_model,right_model,sensitivity_left,sensitivity_right,sensitivity_delta,specificity_left,specificity_right,specificity_delta,f1_left,f1_right,f1_delta,balanced_accuracy_left,balanced_accuracy_right,balanced_accuracy_delta,roc_auc_left,roc_auc_right,roc_auc_delta,accuracy_left,accuracy_right,accuracy_delta
2,0,default_single,default_ensemble,M1,M6,0.8473282442748091,0.8778625954198473,0.03053435114503822,0.7875243664717348,0.7602339181286549,-0.02729044834307992,0.6324786324786325,0.6233062330623306,-0.00917239941630188,0.817426305373272,0.8190482567742512,0.0016219514009792046,0.8986205972947636,0.8984866747020223,-0.00013392259274136453,0.7996894409937888,0.7841614906832298,-0.01552795031055898
2,1,default_single,default_ensemble,M1,M6,0.835820895522388,0.9029850746268656,0.06716417910447758,0.839458413926499,0.8297872340425532,-0.009671179883945835,0.6808510638297872,0.7055393586005831,0.024688294770795927,0.8376396547244436,0.8663861543347094,0.028746499610265874,0.9281590115188084,0.9483241433066776,0.02016513178786916,0.8387096774193549,0.8448540706605223,0.006144393241167445
2,2,default_single,default_ensemble,M1,M6,0.8394160583941606,0.9197080291970804,0.08029197080291983,0.859073359073359,0.832046332046332,-0.027027027027026973,0.7076923076923077,0.72,0.012307692307692242,0.8492447087337598,0.8758771806217062,0.026632471887946374,0.9268663867204012,0.960586759856833,0.033720373136431725,0.8549618320610687,0.850381679389313,-0.004580152671755711
2,3,default_single,default_ensemble,M1,M6,0.916030534351145,0.9694656488549618,0.05343511450381677,0.8515625,0.806640625,-0.044921875,0.7339449541284404,0.711484593837535,-0.022460360290905368,0.8837965171755725,0.8880531369274809,0.004256619751908386,0.9327439169847328,0.9540642891221374,0.021320372137404564,0.864696734059098,0.8398133748055988,-0.02488335925349916
2,4,default_single,default_ensemble,M1,M6,0.8333333333333334,0.8636363636363636,0.030303030303030276,0.8660194174757282,0.883495145631068,0.01747572815533982,0.707395498392283,0.7450980392156863,0.0377025408234033,0.8496763754045308,0.8735657546337159,0.023889379229185104,0.9261694616063548,0.9414827890556046,0.015313327449249736,0.8593508500772797,0.8794435857805255,0.020092735703245768
3,0,default_single,default_ensemble,M1,M6,0.8244274809160306,0.7480916030534351,-0.07633587786259544,0.7816764132553606,0.8440545808966862,0.06237816764132553,0.6153846153846154,0.6343042071197411,0.018919591735125696,0.8030519470856956,0.7960730919750607,-0.006978855110634896,0.890748924899186,0.8962992723539128,0.005550347454726823,0.7903726708074534,0.8245341614906833,0.03416149068322982
3,1,default_single,default_ensemble,M1,M6,0.8409090909090909,0.8863636363636364,0.045454545454545414,0.8699029126213592,0.9009708737864076,0.031067961165048397,0.7161290322580646,0.78,0.06387096774193546,0.8554060017652251,0.893667255075022,0.038261253309796905,0.9372903795233892,0.946528390703148,0.009238011179758754,0.8639876352395672,0.8979907264296755,0.03400309119010825
3,2,default_single,default_ensemble,M1,M6,0.9117647058823528,0.9779411764705882,0.06617647058823539,0.8169556840077071,0.7764932562620424,-0.040462427745664775,0.6985915492957746,0.6909090909090909,-0.007682458386683688,0.86436019494503,0.8772172163663152,0.012857021421285197,0.9347444179984132,0.9618752125127508,0.02713079451433753,0.8366412213740458,0.8183206106870229,-0.018320610687022953
3,3,default_single,default_ensemble,M1,M6,0.8888888888888888,0.9111111111111112,0.022222222222222365,0.8430232558139535,0.8042635658914729,-0.03875968992248069,0.7142857142857143,0.6852367688022284,-0.02904894548348591,0.8659560723514212,0.857687338501292,-0.008268733850129273,0.9297014068331898,0.9498133792707436,0.020111972437553804,0.8525345622119815,0.82642089093702,-0.02611367127496156
3,4,default_single,default_ensemble,M1,M6,0.8244274809160306,0.8091603053435115,-0.01526717557251911,0.876953125,0.876953125,0.0,0.7152317880794702,0.7066666666666667,-0.008565121412803522,0.8506903029580153,0.8430567151717557,-0.007633587786259555,0.9268099952290076,0.9397065839694656,0.01289658874045796,0.8662519440124417,0.8631415241057543,-0.0031104199066873672
4,0,default_single,default_ensemble,M1,M6,0.9044117647058824,0.8161764705882353,-0.08823529411764708,0.7707129094412332,0.8439306358381503,0.07321772639691715,0.6507936507936508,0.676829268292683,0.02603561749903216,0.8375623370735578,0.8300535532131927,-0.00750878386036502,0.9029808455173975,0.9116513657486116,0.008670520231214063,0.7984732824427481,0.8381679389312977,0.03969465648854964
4,1,default_single,default_ensemble,M1,M6,0.8702290076335878,0.8702290076335878,0.0,0.8713450292397661,0.8869395711500975,0.015594541910331383,0.7331189710610932,0.7524752475247525,0.019356276463659228,0.8707870184366769,0.8785842893918426,0.007797270955165692,0.9472493787479724,0.956966206865765,0.009716828117792509,0.8711180124223602,0.8835403726708074,0.012422360248447228
4,2,default_single,default_ensemble,M1,M6,0.8106060606060606,0.8939393939393939,0.08333333333333337,0.8427184466019417,0.8427184466019417,0.0,0.66875,0.7129909365558912,0.04424093655589123,0.8266622536040011,0.8683289202706679,0.04166666666666674,0.9355545748749632,0.9474257134451308,0.011871138570167639,0.8361669242658424,0.8531684698608965,0.01700154559505407
4,3,default_single,default_ensemble,M1,M6,0.8740740740740741,0.925925925925926,0.05185185185185193,0.8527131782945736,0.8275193798449613,-0.025193798449612337,0.7173252279635258,0.7163323782234957,-0.0009928497400301106,0.8633936261843238,0.8767226528854436,0.013329026701119795,0.9329457364341086,0.9513924777490668,0.01844674131495816,0.8571428571428571,0.847926267281106,-0.009216589861751112
4,4,default_single,default_ensemble,M1,M6,0.7786259541984732,0.8320610687022901,0.05343511450381688,0.85546875,0.822265625,-0.033203125,0.6644951140065146,0.6586102719033232,-0.005884842103191401,0.8170473520992366,0.827163346851145,0.010115994751908386,0.8941734255725191,0.9242604961832062,0.03008707061068705,0.8398133748055988,0.8242612752721618,-0.015552099533437058
