role,frequency_hz,t_0.128,t_0.256,t_0.384,t_0.512,t_0.640,t_0.768,t_0.896,t_1.024,t_1.152,t_1.280,t_1.408,t_1.536,t_1.664,t_1.792,t_1.920,t_2.048,t_2.176,t_2.304,t_2.432,t_2.560,t_2.688,t_2.816,t_2.944,t_3.072,t_3.200,t_3.328,t_3.456,t_3.584,t_3.712,t_3.840,t_3.968,t_4.096,t_4.224,t_4.352,t_4.480,t_4.608,t_4.736,t_4.864,t_4.992,t_5.120,t_5.248,t_5.376,t_5.504,t_5.632,t_5.760
normal,39.0625,-8.696402280524273,-39.63629235828067,-18.786981243083968,-23.803029369438057,-44.42308785304792,-35.941678378249414,-32.39072827682883,-8.581123983941728,-7.076841717481374,-34.857509542429035,-20.56084294850713,-18.935777725765735,-43.063586948507606,-37.48086688424196,-37.68316073783022,-7.1115520914043975,-7.664719737211493,-30.97710390912404,-14.934576395899592,-17.8618171604488,-50.849041140014606,-36.37211518833357,-18.482542422241323,-7.7092840205783055,-36.65265255231779,-16.932478898135482,-18.095882509545188,-34.56045116930724,-29.518994520000653,-32.38749564682588,-8.265398396972163,-9.13443955067608,-29.484190725779182,-18.102218039684338,-19.05303603589213,-39.48086088311917,-41.32016229891357,-38.25199669474955,-33.94973972674456,-9.159431441900042,-13.164987975362916,-33.48756651635252,-18.51468358225006,-35.06325408508308,-43.52807224960361
normal,42.96875,-10.09008678203263,-32.6890464525425,-21.98037418164143,-23.855017112512673,-38.10926777637467,-37.07475174138628,-45.61432619995606,-9.634185848972077,-8.223333644980748,-32.524111969583856,-20.460540152271363,-21.235192953779055,-33.57690739413964,-30.715074163073947,-32.109080860523775,-7.496352431321382,-6.998374485878344,-24.5196664515053,-18.68612572231012,-19.680434982222643,-35.63522809305197,-37.09937509049639,-18.56471057922098,-7.561007363936936,-27.638638903265974,-19.706710200456545,-17.86372645438926,-33.89558502281738,-26.92379484859169,-24.669430323151293,-10.332869913302563,-9.583015819463625,-38.85827233013415,-18.83566965860842,-20.30053970213587,-37.64819440985736,-34.89254381362383,-35.05057584570823,-45.845660402085045,-9.875429407324434,-12.946239165636015,-38.22628282481937,-21.61524112370262,-32.43273116989644,-41.03650831659135
normal,46.875,-11.159605773230632,-35.31547478069208,-18.542825483690756,-23.916077786431565,-37.48174789757578,-49.96592774985713,-34.17397297013787,-10.545006816203317,-10.605623947755916,-34.94102169746748,-19.646199676885075,-20.842940009304943,-44.55168968801284,-43.68761227003507,-36.14303256469078,-8.75389569681607,-9.567774848073503,-33.76609394060337,-19.050098394133393,-22.57636045404398,-33.766690995723465,-35.614252010827144,-18.654249017921888,-8.52796106571882,-35.058840244732544,-20.55450054770747,-20.977259000552813,-30.304448572576174,-26.908198950352116,-29.46153851254879,-11.983529616661956,-12.11831064971837,-28.83026403647922,-21.09954279531358,-22.692870582543506,-36.45413998970775,-40.43958133080825,-43.19124679288804,-42.27309831194166,-11.441459824180908,-12.39673193031291,-35.24111200689983,-21.725176020966867,-39.707872434696924,-39.90573638761448
normal,50.78125,-18.339410444152016,-27.322057954349354,-20.916770179411547,-23.955248355163626,-36.80625489025654,-37.4849989344858,-44.187891637946315,-13.016848334019821,-12.509662546655257,-26.779036999150158,-24.44709178053226,-24.265642848824417,-39.10140272930129,-40.47506765898898,-35.61986223793978,-10.854532202616344,-10.043191564974608,-32.24750070118998,-20.78756025354432,-23.345364898735326,-36.84880146260487,-38.51243655506953,-19.572631721687046,-10.002186811537666,-28.76304545254003,-18.178773028788196,-19.258521066346596,-40.13691290029983,-29.643365919035904,-27.411683732019824,-16.561963877705352,-17.065230355842694,-37.978004470158034,-22.40702112798983,-22.078176260287236,-32.801210086787314,-37.6632181714038,-34.686295922777795,-42.345937300453336,-16.122039342003326,-16.839102586127808,-24.152488130169353,-20.96348364936743,-37.16783392529167,-40.09642715872789
normal,54.6875,-19.99842003958656,-24.24815936553709,-21.526972863576507,-26.5771894990689,-41.74695406154092,-34.028489514353716,-32.31444420528777,-14.86716631238744,-17.962786673039524,-26.118254842399704,-24.331694678960073,-30.28757972783065,-44.06604447439611,-31.562326149435712,-36.79570391443219,-13.892424308962655,-13.784936011428904,-29.14094251210017,-20.354125204335784,-23.850340610023714,-32.558574055986085,-33.14189460580322,-20.93231724619126,-12.897589148760284,-31.01634382602665,-19.72152641770719,-19.82015754447158,-37.47756688780102,-26.625568906005622,-28.559539260610897,-30.048827943745163,-22.725663602147964,-25.87267842183202,-20.77307210044313,-23.042034549264923,-42.77902031057095,-29.359484581603425,-29.613843982804028,-48.77132578596863,-25.300583475917445,-16.672432606853906,-26.17245857194518,-23.946999486106485,-38.49206754045254,-37.98054981111322
normal,58.59375,-26.098221360032518,-30.970569313476265,-21.759278538754373,-29.25295734775492,-55.56915399264574,-37.929787834356745,-36.58052485604426,-18.467952475289437,-23.303256184774156,-25.344257514310993,-25.74197881249186,-24.510622530822385,-30.046433421913093,-45.06324952982733,-38.953125683968295,-19.165500049871824,-19.318105086975326,-30.337562620939416,-24.441982984732196,-23.93557000032849,-57.096720430272434,-32.39406539517519,-22.854648035530005,-17.037284705511034,-26.664259591501324,-31.83949390617164,-25.16678572509953,-30.850807104188604,-26.713469520330165,-23.495771681723838,-23.0580549598538,-21.202319713304988,-28.789262864921884,-24.422495148478085,-25.48124810326975,-33.92469152922484,-39.830961236617185,-36.89494715090656,-44.2905442844354,-33.13086013514621,-29.165299149654306,-28.985274685108784,-24.106008530244477,-31.22899168880178,-41.35034714922747
normal,62.5,-20.808401386713435,-31.799246306911222,-26.21806647457424,-25.49474201963228,-39.25124526795176,-47.04522162383423,-39.65673805945303,-21.654951937544602,-26.36721948852623,-32.470400369902286,-32.56533950621539,-29.57435292778211,-36.103047023744416,-35.898299423819495,-42.80911069296282,-22.81655878437764,-23.255573626995517,-38.86224661395144,-27.000121780529142,-29.902051326583848,-30.61468667572029,-40.2242617397613,-24.577529594900717,-22.399261107559415,-27.99298684327473,-29.910543030890647,-32.33207961599505,-38.90635628865483,-24.235772202405826,-29.376611384461143,-20.06301537824518,-23.833357095917552,-29.776020973150924,-23.554724877597923,-24.40005406984778,-35.07610001246984,-31.911798215312082,-44.47664735703018,-39.61323869349718,-22.939587404149794,-32.482531368941096,-34.652715338471666,-23.49895089841,-38.48715367871221,-37.32621268185841
normal,66.40625,-22.43388756867949,-30.09503482054026,-27.41221241856347,-32.848662584382886,-44.968630553658464,-57.419548065844296,-35.67194311946529,-26.14993350556192,-21.701134178079005,-26.75317778929225,-23.55504581984116,-23.659855946747808,-36.06066315915674,-48.93401399117298,-31.211476904414184,-22.954496990319697,-20.672232078175302,-32.848846444470865,-26.017783637579953,-32.347070714036604,-40.38942018538002,-36.67641968814758,-24.814116535519094,-24.46955284120369,-26.774702444264904,-25.719503459274044,-31.058204521226635,-32.011010450577025,-29.37896676957857,-26.256332420765215,-27.499376858493683,-23.446273577957093,-25.157016780326273,-27.494037654081023,-27.1576463712358,-42.5780117200598,-55.52261465573879,-36.426837542358854,-39.78746807349766,-21.545775602319623,-21.656837923739005,-33.170608648235465,-27.41583163291718,-39.73336350633849,-47.3665818771113
normal,70.3125,-22.699114604189653,-32.69183985029736,-30.056325360555192,-40.41281540901083,-39.98603533298564,-38.90007632466029,-41.38527801320934,-27.197771054903825,-22.22002786634293,-28.221507260912553,-24.458000262077615,-28.93363764179174,-39.7432394375829,-40.59606806454891,-35.98498049753931,-21.17546195279774,-21.97387182576906,-28.7477280057047,-34.536246118804435,-29.6598215614755,-43.461479545433626,-42.401868341109406,-25.358287526390747,-22.528928456363086,-29.517573996074407,-41.306843825113155,-32.24235536425088,-37.64974231868389,-30.875789947172727,-29.714484368793844,-26.363794783387775,-30.34706545074854,-32.66540539941395,-28.330751655713378,-36.70039695525671,-57.43699637115766,-45.20302589127748,-37.72118902304613,-35.934831547193006,-23.695862527487087,-21.123086650402758,-30.624449601238247,-30.847256965077033,-44.12119101268448,-35.3682849297013
normal,74.21875,-28.61692822144862,-43.20252351923567,-33.75187907591399,-42.2386641865356,-39.6831722150739,-39.82128562215704,-45.009057622325685,-33.54393849864821,-22.63266742890165,-28.53184138465645,-40.1229690391128,-32.98552521371093,-54.015183400373175,-47.07262534240058,-34.939483066620284,-21.566988694520028,-22.328033603213445,-33.24921283303553,-30.642908540479702,-31.16585720183115,-44.73924337385094,-36.28039727572897,-25.294571883064393,-24.664602222575162,-25.72774743830771,-35.95252344778834,-42.94770033655618,-37.097387221292124,-33.5043621293594,-32.796292799358184,-29.088777515350618,-31.138775229353847,-33.903384630857886,-40.18478994172784,-34.77851169566138,-38.91822635312525,-45.129282185438974,-41.958332047903184,-56.41740519896406,-23.284115364941528,-23.090231015702013,-27.580977201767567,-39.44661846332422,-35.95168523396352,-39.20013260369717
normal,78.125,-24.36421289206701,-37.39235961835637,-28.367154294990446,-38.33694131476591,-38.81904796562906,-38.12738719802982,-36.78639368110991,-36.03269782128103,-28.654379893650642,-37.971694349485176,-32.752976966471074,-39.647649696407356,-54.065173394022565,-59.63210760383765,-40.35760703366505,-27.72265018381312,-27.335385147855575,-50.58939654960983,-40.79751150404529,-37.22851907276643,-50.59055502924827,-45.89262263051191,-29.831667312356917,-30.288115117773074,-31.791120342050814,-42.368665623865624,-32.01934927406917,-35.107470515221415,-32.26463140438881,-32.545473847856286,-25.036899332195134,-24.4061954844377,-38.35195952992959,-33.071797857038824,-37.67808043033984,-42.36077213156193,-48.83449819355811,-42.773855658139226,-45.82203300231053,-23.09574966150917,-21.868709497088545,-38.44802111605917,-39.95224568206155,-42.85450451789326,-44.12500294385728
normal,82.03125,-24.40145867871315,-43.50646453487536,-27.577371864074593,-36.80775660707298,-44.866614916155314,-43.35372209620325,-43.2032185086009,-31.243894092762456,-27.618372303056795,-35.961401813144356,-31.596018285235754,-31.116952343671368,-40.6946874788192,-35.98176635289013,-39.79733228720007,-30.20098826641549,-28.38694272884559,-41.67427855782174,-35.85687654524217,-41.404975671324195,-45.410057838390394,-43.110273786931465,-33.61637926910722,-37.44844135715684,-37.58738313383632,-26.661357025294933,-31.710387188860008,-42.08493104517479,-32.108483810955065,-32.66680957492386,-24.236073099884106,-22.603884322654835,-33.26444520296705,-30.03104639854769,-30.388387737809115,-57.72434269460031,-52.44186694227891,-50.49936195616512,-47.81637518200995,-24.55275604315897,-25.539369724927965,-32.825310685698945,-36.77187778523879,-39.36015166106392,-48.11038594243271
normal,85.9375,-28.003846257633022,-38.04080855765075,-25.243246078657528,-31.599862896454148,-45.13484803667744,-44.92882321644189,-44.643435970797576,-31.070026167225507,-25.09356008690263,-34.355722181450716,-30.5559841813032,-30.66183701986294,-43.259617999132765,-42.099393453470356,-53.20978180853405,-31.66958153172288,-30.588245150150172,-35.023277017368486,-37.155509069549055,-53.33362075452719,-45.69540446224816,-56.86133918597847,-33.852739365006386,-34.47121724806365,-36.68824562084722,-37.895046142860394,-27.291421176628084,-43.4006095629191,-40.54843816615399,-41.77349003564983,-24.91854235437387,-27.99982634152292,-33.40922611885718,-26.402256465467076,-29.23872755349905,-43.68465421230204,-47.670417122096524,-44.48610823721044,-46.464488311716075,-27.780400962407427,-27.47004517386895,-42.65547955086802,-34.54338770438855,-45.506107102134436,-40.55575396918109
normal,89.84375,-27.28997835655319,-33.5745691913173,-26.38369579465177,-32.00542642512686,-44.90339784356921,-51.923937786601535,-39.139164350567796,-28.815140106822547,-27.24024755293092,-39.26002595460466,-38.82504831571532,-33.78708590895057,-43.24442060172113,-56.549752682985115,-45.169227010833964,-30.089620562131966,-32.008786320607896,-43.555120348865266,-39.84974984214068,-41.22819934547995,-59.4167326257958,-41.14498477756818,-38.88447561564417,-30.263862107939996,-36.024898824478925,-27.686442929034094,-29.292339964185953,-39.44616723947214,-36.131901666407614,-34.358562154658365,-24.477917032164797,-24.282258324902507,-43.49757153823346,-29.67415576790379,-30.49174780230007,-47.80609377425441,-44.14692436644259,-49.230361658902204,-46.19478071424807,-29.566253148148796,-28.89190962304676,-36.78838798849155,-35.478697146839195,-42.88673955297369,-49.25000406431544
normal,93.75,-29.754284772898533,-35.25608939927614,-27.41454238120707,-31.19520160894179,-46.64783835874328,-47.3237527080743,-54.24409093265207,-30.23521409082306,-26.668866733870136,-42.278227393111074,-37.25382063616193,-41.81796707720629,-46.57770460751672,-56.763756785337875,-43.18629150343541,-31.046626978408945,-30.890803801396892,-40.21972999364461,-32.509826501601054,-44.28798039064891,-47.488981427856736,-49.30938681342625,-34.20396476666984,-31.159433259486022,-40.36036518437286,-31.561939399091223,-32.85162856076933,-47.937629981335846,-43.43715694267907,-42.03029258302272,-29.710028890824685,-28.56311124662578,-41.264324855806926,-29.470048873526224,-32.23141204734388,-38.886062445911016,-43.52113790302707,-58.36172520746261,-53.77253448023932,-30.25228483714929,-30.435911023467565,-37.89454006944305,-38.15556146082275,-36.963878136566166,-37.999659441565186
normal,97.65625,-29.760925299261764,-40.9939459988168,-30.321495140868745,-34.36688536393574,-48.839155410265434,-49.13465335388538,-43.66180279559565,-28.17162329938634,-35.26530072318423,-37.53664519911639,-49.397702067296684,-50.981807567569604,-36.52791689326216,-43.13167902925394,-45.40404151803985,-29.629864667983416,-30.564011716321417,-37.20683172793869,-36.24886194615856,-43.124905535121265,-45.703804923258105,-43.85559483587731,-50.23154433605651,-31.707682818085274,-49.044812557894645,-36.98565023176048,-37.07502547502099,-42.993870716339856,-43.43198040674899,-40.66039018216868,-31.26815392473415,-28.92011478361804,-40.39055633977195,-32.683556953711154,-32.78992540054839,-46.341505242023935,-52.323607409661335,-49.70269645062686,-50.94907594740869,-33.50702914188933,-35.447601260905074,-40.37063557076647,-35.41981231136944,-48.206058786636405,-41.63514081683219
normal,101.5625,-46.37136126401613,-36.62844893018661,-32.13400089649043,-37.17276698941481,-43.91107852817317,-48.726322409697076,-43.59209598520037,-31.030518507193996,-30.734988034336126,-36.84129311440035,-36.17761819810961,-44.483763708119085,-49.66321406136635,-45.676116948808854,-45.44827932031639,-32.17552619699292,-29.24432971435032,-43.29587114446005,-37.29785419054358,-34.78116395493891,-44.36579920680502,-39.20654969701027,-45.077495401949115,-33.05614326489768,-45.27531766680671,-47.27467365890018,-38.65636645463384,-46.0659876872256,-43.357029604085014,-52.37060994591097,-34.18292791346139,-42.12243456951267,-42.146786502457765,-33.08457953087534,-33.44004813329416,-53.21668494821898,-43.312582161385734,-43.706688135012854,-53.54110565255806,-35.4154296455632,-39.13541619505623,-44.74154365238991,-34.060265608064746,-41.236049970586194,-41.84376022573553
normal,105.46875,-28.493239069356836,-36.23693412642597,-38.20269643793417,-35.31157502529669,-45.41793700521892,-44.28159927043511,-53.24440012739741,-28.85157450906972,-35.121262001684414,-42.587172876350515,-42.138101151287216,-52.0708197669537,-56.22916640928671,-57.44108818258227,-44.08567013896736,-30.108935349856477,-33.20073875857151,-44.481067707666924,-46.50754513248928,-49.26794624703399,-45.46926490344016,-58.14006008199992,-40.484419580234814,-33.67227063218293,-47.48382620037832,-39.47643193109759,-38.189249841563125,-45.6860865438309,-54.72144605054371,-47.26655960855338,-33.98663870676693,-32.55236804920968,-37.67695584790492,-43.60997657759877,-39.24531570999672,-59.03879427982831,-55.27740744955985,-45.264264069415105,-43.518276930727936,-31.65667466491906,-31.307922981574947,-35.208252512857605,-47.897937848573385,-37.58382248027233,-45.44515317732074
normal,109.375,-48.18168639722955,-31.460776209850767,-36.16324805478279,-42.69246515442041,-47.21066710507864,-45.02243300753463,-44.81042157152166,-32.788591388797066,-28.92605260422468,-36.270659589398015,-40.391523717756485,-46.74801789944326,-41.73041365110818,-58.73121668942745,-45.34901563763899,-34.84978559398056,-30.38507440509732,-55.42915105252548,-43.14200612619323,-44.70109545861245,-43.88270727175516,-45.26507231404935,-54.105113265038014,-31.104086729639345,-37.8943285428722,-42.55674135218848,-40.66203307975861,-54.67833011747828,-63.45543272040439,-43.11983487614519,-40.756989823252454,-38.67475312370148,-37.92966216387844,-40.7478420422725,-41.11509756487851,-46.94551309993801,-48.544393835458735,-49.723465256485746,-57.65640907802314,-42.365000780049044,-38.35463815893356,-36.302707244874554,-53.16428756988135,-48.84064532728314,-47.57793247423052
normal,113.28125,-32.22334844489205,-48.33410057586537,-34.85179853569248,-40.33882310152525,-45.00952217341829,-43.09637430105311,-47.28305425791483,-32.32027172177874,-35.811668841177486,-47.04321361805878,-40.50599457124314,-39.559625903779605,-43.21839362828442,-44.23384988429052,-44.08506613341114,-31.750938117007514,-37.30655358816764,-39.68740383626788,-39.85494354251934,-49.58633739372968,-50.13169974380388,-42.95305320917074,-43.08888616962798,-33.092452036918026,-77.92311398556596,-64.88699490745786,-38.697664698856144,-52.91979074501933,-42.48424691537632,-47.99787511008961,-40.13010151765066,-39.17220100831209,-52.80296571754078,-43.23461344281303,-52.49574080121208,-46.06045700125457,-52.521069936451354,-46.66971511427107,-48.4154218692829,-45.340002030463644,-44.434273902694756,-64.54426253554783,-42.48547663181839,-43.06050421094292,-64.39206815007618
normal,117.1875,-40.14085633061523,-39.1069686254502,-50.571037611215566,-44.854805503998676,-38.079675386232275,-41.06279121115203,-46.49141212893796,-38.0107219764562,-34.183970553948846,-40.57515259017304,-44.51643318616736,-45.955776367821166,-46.0945428055731,-52.435458436355944,-60.36063064769442,-36.848788106198086,-33.79198431651782,-35.046031518811425,-37.983875712379366,-43.02404693466566,-47.331758350571974,-53.07789818663201,-46.04435061419448,-33.471802431901466,-51.64739604904586,-38.69020951028515,-42.54712386078684,-55.45244763990049,-44.02702768198033,-47.34007346979321,-54.31081632166033,-47.808655641424316,-45.57726098795348,-42.92874479630636,-49.10207006857287,-60.599812580881476,-50.57749907889939,-53.27903106711703,-41.291912564527834,-37.38359722031067,-41.88688916970101,-43.477906708592684,-44.88306448645213,-49.24863075493823,-47.351938839716894
normal,121.09375,-38.00535121656025,-37.609672248569915,-44.89890319732369,-36.06242689940599,-59.488916032998425,-44.03184739353012,-47.248234578605604,-39.91253098609659,-35.792897781446996,-47.03829637873991,-47.304593566837966,-49.40961099689498,-45.21597178058295,-46.4657830346296,-49.26149515919732,-37.13834229381089,-43.14201161238847,-48.785343482402006,-41.392545829903824,-43.92024834735106,-58.96054248446695,-54.0434310851644,-43.32049365968318,-36.342718787328195,-40.37473708353453,-58.21392831850292,-41.58405143750804,-49.226575214932765,-57.77472868139951,-45.31787287457326,-37.980534291912335,-37.53568492489614,-41.25705831522376,-41.45458303679117,-52.21175360428239,-52.80042116204822,-47.73626957163407,-48.12380768797897,-48.209858870478186,-43.95881628509403,-47.00254136139631,-46.87931099412722,-44.177167674953104,-44.09182812992715,-43.309106454875355
