record_id,state,phase,phase_key,start_sec,end_sec,duration_sec,in_window
85197_TV,4,Diastole,diastole,4.38025,4.54025,0.16000000000000014,False
85197_TV,1,S1,s1,4.54025,4.664339,0.12408899999999967,False
85197_TV,2,Systole,systole,4.664339,4.80025,0.13591100000000012,False
85197_TV,3,S2,s2,4.80025,4.94025,0.13999999999999968,False
85197_TV,4,Diastole,diastole,4.94025,5.10025,0.16000000000000014,False
85197_TV,1,S1,s1,5.10025,5.22025,0.1200000000000001,False
85197_TV,2,Systole,systole,5.22025,5.361506,0.14125600000000027,False
85197_TV,3,S2,s2,5.361506,5.453148,0.09164199999999934,False
85197_TV,4,Diastole,diastole,5.453148,5.646711,0.19356300000000015,False
85197_TV,1,S1,s1,5.646711,5.759765,0.11305399999999999,False
85197_TV,2,Systole,systole,5.759765,5.92025,0.16048500000000043,False
85197_TV,3,S2,s2,5.92025,6.019275,0.09902500000000014,False
85197_TV,4,Diastole,diastole,6.019275,6.193139,0.17386400000000002,False
85197_TV,1,S1,s1,6.193139,6.294202,0.1010629999999999,False
85197_TV,2,Systole,systole,6.294202,6.456075,0.16187299999999993,False
85197_TV,3,S2,s2,6.456075,6.58025,0.12417500000000015,False
85197_TV,4,Diastole,diastole,6.58025,6.78025,0.1999999999999993,False
85197_TV,1,S1,s1,6.78025,6.92025,0.14000000000000057,False
85197_TV,2,Systole,systole,6.92025,7.082155,0.16190499999999997,False
85197_TV,3,S2,s2,7.082155,7.179793,0.09763799999999989,False
85197_TV,4,Diastole,diastole,7.179793,7.441016,0.2612230000000002,False
85197_TV,1,S1,s1,7.441016,7.543793,0.10277699999999967,False
85197_TV,2,Systole,systole,7.543793,7.715944,0.1721510000000004,False
85197_TV,3,S2,s2,7.715944,7.805016,0.08907199999999982,False
85197_TV,4,Diastole,diastole,7.805016,8.044828,0.23981200000000058,False
85197_TV,1,S1,s1,8.044828,8.148461,0.10363299999999853,False
85197_TV,2,Systole,systole,8.148461,8.32025,0.1717890000000004,False
85197_TV,3,S2,s2,8.32025,8.391699,0.07144899999999943,False
85197_TV,4,Diastole,diastole,8.391699,8.605816,0.21411700000000167,False
85197_TV,1,S1,s1,8.605816,8.70688,0.10106399999999915,False
85197_TV,2,Systole,systole,8.70688,8.86025,0.15337000000000067,False
85197_TV,3,S2,s2,8.86025,9.00025,0.1399999999999988,False
85197_TV,4,Diastole,diastole,9.00025,9.20025,0.20000000000000107,False
85197_TV,1,S1,s1,9.20025,9.32025,0.11999999999999922,False
85197_TV,2,Systole,systole,9.32025,9.46025,0.14000000000000057,False
85197_TV,3,S2,s2,9.46025,9.60025,0.14000000000000057,False
85197_TV,4,Diastole,diastole,9.60025,9.798024,0.197773999999999,False
85197_TV,1,S1,s1,9.798024,9.94025,0.14222600000000085,False
85197_TV,2,Systole,systole,9.94025,10.09008,0.14982999999999969,False
85197_TV,3,S2,s2,10.09008,10.22025,0.13016999999999967,False
85197_TV,4,Diastole,diastole,10.22025,10.40025,0.17999999999999972,False
85197_TV,1,S1,s1,10.40025,10.54025,0.14000000000000057,False
85197_TV,2,Systole,systole,10.54025,10.66025,0.11999999999999922,False
85197_TV,3,S2,s2,10.66025,10.80025,0.14000000000000057,False
85197_TV,4,Diastole,diastole,10.80025,10.96025,0.16000000000000014,False
85197_TV,1,S1,s1,10.96025,11.10025,0.14000000000000057,False
85197_TV,2,Systole,systole,11.10025,11.220621,0.12037099999999867,False
85197_TV,3,S2,s2,11.220621,11.340527,0.11990600000000029,False
85197_TV,4,Diastole,diastole,11.340527,11.52025,0.17972300000000097,False
85197_TV,1,S1,s1,11.52025,11.648,0.12774999999999892,False
