record_uid,index,name,family,value
D1_training-a_a0005,30,freq_rolloff95_mean,frequency,178.00739247311827
D1_training-a_a0005,31,freq_rolloff95_std,frequency,59.22200294717627
D1_training-a_a0005,32,freq_flatness_mean,frequency,3.6831589901810984e-06
D1_training-a_a0005,33,freq_flatness_std,frequency,4.097691549383059e-05
D1_training-a_a0005,34,freq_flux_mean,frequency,0.148300450872699
D1_training-a_a0005,35,freq_flux_std,frequency,0.04512595204471857
D1_training-a_a0005,36,freq_spectral_entropy,frequency,0.40679971916417446
D1_training-a_a0005,37,freq_dominant,frequency,35.15625
D1_training-a_a0005,38,freq_peak_power,frequency,0.056072948965262
D1_training-a_a0005,39,freq_total_power,frequency,1.024206570055295
D1_training-a_a0005,40,freq_band_power_20_50,frequency,0.8929443391764268
D1_training-a_a0005,41,freq_band_power_50_100,frequency,0.09473320960498413
D1_training-a_a0005,42,freq_band_power_100_150,frequency,0.005298799944546851
D1_training-a_a0005,43,freq_band_power_150_250,frequency,0.000741880043697949
D1_training-a_a0005,44,freq_band_power_250_350,frequency,0.00012568525487338935
D1_training-a_a0005,45,freq_band_power_350_400,frequency,1.4121937113500806e-05
D1_training-a_a0005,46,mfcc_01_mean,mfcc,-49.84228616443909
D1_training-a_a0005,47,mfcc_02_mean,mfcc,86.6328215685341
D1_training-a_a0005,48,mfcc_03_mean,mfcc,20.094462289116134
D1_training-a_a0005,49,mfcc_04_mean,mfcc,19.92724565795935
D1_training-a_a0005,50,mfcc_05_mean,mfcc,6.929401128974442
D1_training-a_a0005,51,mfcc_06_mean,mfcc,7.440744528641132
D1_training-a_a0005,52,mfcc_07_mean,mfcc,3.2167298542540266
D1_training-a_a0005,53,mfcc_08_mean,mfcc,5.219109698234431
D1_training-a_a0005,54,mfcc_09_mean,mfcc,2.5081076858369817
D1_training-a_a0005,55,mfcc_10_mean,mfcc,2.004473896967863
D1_training-a_a0005,56,mfcc_11_mean,mfcc,0.6834245277485181
D1_training-a_a0005,57,mfcc_12_mean,mfcc,0.8090373296758725
D1_training-a_a0005,58,mfcc_13_mean,mfcc,0.8853051329920943
D1_training-a_a0005,59,mfcc_01_std,mfcc,39.58551618238092
D1_training-a_a0005,60,mfcc_02_std,mfcc,18.11360694643536
D1_training-a_a0005,61,mfcc_03_std,mfcc,9.803792944459444
D1_training-a_a0005,62,mfcc_04_std,mfcc,7.334882905066042
D1_training-a_a0005,63,mfcc_05_std,mfcc,5.678296788706644
D1_training-a_a0005,64,mfcc_06_std,mfcc,5.093599797980363
D1_training-a_a0005,65,mfcc_07_std,mfcc,4.264150987311689
D1_training-a_a0005,66,mfcc_08_std,mfcc,3.5110524224608612
D1_training-a_a0005,67,mfcc_09_std,mfcc,3.7973512577844546
D1_training-a_a0005,68,mfcc_10_std,mfcc,4.298852471451204
D1_training-a_a0005,69,mfcc_11_std,mfcc,4.106156855011842
D1_training-a_a0005,70,mfcc_12_std,mfcc,3.7175825435318055
D1_training-a_a0005,71,mfcc_13_std,mfcc,3.592877569233114
D1_training-a_a0005,72,mfcc_01_delta_mean,mfcc,0.029779682597588317
D1_training-a_a0005,73,mfcc_02_delta_mean,mfcc,-0.01655692193730388
D1_training-a_a0005,74,mfcc_03_delta_mean,mfcc,0.009386207146717116
D1_training-a_a0005,75,mfcc_04_delta_mean,mfcc,-0.03403459277651263
D1_training-a_a0005,76,mfcc_05_delta_mean,mfcc,-0.043974705026823345
D1_training-a_a0005,77,mfcc_06_delta_mean,mfcc,0.0013994645854853549
D1_training-a_a0005,78,mfcc_07_delta_mean,mfcc,0.013781802393991207
D1_training-a_a0005,79,mfcc_08_delta_mean,mfcc,0.0019028148519662441
D1_training-a_a0005,80,mfcc_09_delta_mean,mfcc,-0.010097256784919987
D1_training-a_a0005,81,mfcc_10_delta_mean,mfcc,-0.001923947291674117
D1_training-a_a0005,82,mfcc_11_delta_mean,mfcc,0.003540313941804139
D1_training-a_a0005,83,mfcc_12_delta_mean,mfcc,0.005024877123289495
D1_training-a_a0005,84,mfcc_13_delta_mean,mfcc,0.006252744585822502
D1_training-a_a0005,85,chroma_01_mean,chroma,0.7945010724626309
D1_training-a_a0005,86,chroma_02_mean,chroma,0.8296546727300682
D1_training-a_a0005,87,chroma_03_mean,chroma,0.8150530041625247
D1_training-a_a0005,88,chroma_04_mean,chroma,0.8140412964710967
D1_training-a_a0005,89,chroma_05_mean,chroma,0.7863324113532842
D1_training-a_a0005,90,chroma_06_mean,chroma,0.8080728978065443
D1_training-a_a0005,91,chroma_07_mean,chroma,0.8095582842441433
D1_training-a_a0005,92,chroma_08_mean,chroma,0.7808506997444539
D1_training-a_a0005,93,chroma_09_mean,chroma,0.7790114660643364
D1_training-a_a0005,94,chroma_10_mean,chroma,0.7925920131931115
D1_training-a_a0005,95,chroma_11_mean,chroma,0.777254225555557
D1_training-a_a0005,96,chroma_12_mean,chroma,0.7974133671598459
D1_training-a_a0005,97,chroma_01_std,chroma,0.13856422489764747
D1_training-a_a0005,98,chroma_02_std,chroma,0.15100256661462
D1_training-a_a0005,99,chroma_03_std,chroma,0.14840932807884497
D1_training-a_a0005,100,chroma_04_std,chroma,0.15299868380199858
D1_training-a_a0005,101,chroma_05_std,chroma,0.1380604941238434
D1_training-a_a0005,102,chroma_06_std,chroma,0.13022910967953605
D1_training-a_a0005,103,chroma_07_std,chroma,0.12674681683275615
D1_training-a_a0005,104,chroma_08_std,chroma,0.12628724470735758
D1_training-a_a0005,105,chroma_09_std,chroma,0.13326076293297814
D1_training-a_a0005,106,chroma_10_std,chroma,0.14126739278656625
D1_training-a_a0005,107,chroma_11_std,chroma,0.1449897161401602
D1_training-a_a0005,108,chroma_12_std,chroma,0.14532802103686124
D1_training-a_a0005,109,dwt_cA5_energy,dwt,24169.463004494763
D1_training-a_a0005,110,dwt_cD5_energy,dwt,41113.36555678828
D1_training-a_a0005,111,dwt_cD4_energy,dwt,5671.318973165326
D1_training-a_a0005,112,dwt_cD3_energy,dwt,360.26382264044105
D1_training-a_a0005,113,dwt_cD2_energy,dwt,19.401385814438342
D1_training-a_a0005,114,dwt_cD1_energy,dwt,0.6341583029760621
D1_training-a_a0005,115,dwt_cA5_std,dwt,3.288476164947376
D1_training-a_a0005,116,dwt_cD5_std,dwt,4.288964687274465
D1_training-a_a0005,117,dwt_cD4_std,dwt,1.1271413417809146
D1_training-a_a0005,118,dwt_cD3_std,dwt,0.20094585758922018
D1_training-a_a0005,119,dwt_cD2_std,dwt,0.03297944128069052
D1_training-a_a0005,120,dwt_cD1_std,dwt,0.004216512317152733
D1_training-a_a0005,121,dwt_cA5_entropy,dwt,4.007909902184961
D1_training-a_a0005,122,dwt_cD5_entropy,dwt,3.301169557940669
D1_training-a_a0005,123,dwt_cD4_entropy,dwt,2.572782365867482
D1_training-a_a0005,124,dwt_cD3_entropy,dwt,2.3641990790809713
D1_training-a_a0005,125,dwt_cD2_entropy,dwt,2.3382443519922496
D1_training-a_a0005,126,dwt_cD1_entropy,dwt,1.569651475082769
D1_training-a_a0005,127,dwt_cA5_mean_abs,dwt,1.8542505579084383
D1_training-a_a0005,128,dwt_cD5_mean_abs,dwt,2.110100765073819
D1_training-a_a0005,129,dwt_cD4_mean_abs,dwt,0.5198390725633828
D1_training-a_a0005,130,dwt_cD3_mean_abs,dwt,0.0860711437793743
D1_training-a_a0005,131,dwt_cD2_mean_abs,dwt,0.014774493105279283
D1_training-a_a0005,132,dwt_cD1_mean_abs,dwt,0.0018567819894335976
D1_training-a_a0005,133,env_mean,envelope,0.7972259219206044
D1_training-a_a0005,134,env_std,envelope,1.1358419648604339
D1_training-a_a0005,135,env_skew,envelope,2.711767727124254
D1_training-a_a0005,136,env_kurtosis,envelope,7.59349759930504
D1_training-a_a0005,137,env_peak_rate,envelope,1.8785397857903887
