feature,family,dataset,n_class0,n_class1,mean_class0,mean_class1,cohens_d,abs_cohens_d,rank
time_max,time,D1,2575,665,8.475925367133131,10.44644147327968,0.43850442680690804,0.43850442680690804,34
freq_dominant,frequency,D1,2575,665,43.17354368932039,34.73919172932331,-0.4041886317749483,0.4041886317749483,35
chroma_11_mean,chroma,D1,2575,665,0.7091830211871564,0.7354449345487157,0.381263289728503,0.381263289728503,36
time_peak_to_peak,time,D1,2575,665,17.50867967568555,20.560917085274717,0.3715941047432708,0.3715941047432708,37
time_range,time,D1,2575,665,17.50867967568555,20.560917085274717,0.3715941047432708,0.3715941047432708,38
dwt_cD3_std,dwt,D1,2575,665,0.643228811327428,0.5190404014310104,-0.3664787384663036,0.3664787384663036,39
mfcc_05_std,mfcc,D1,2575,665,5.670586291596346,6.068107693886675,0.3594040736773311,0.3594040736773311,40
dwt_cD4_energy,dwt,D1,2575,665,12331.097670100942,9156.424474640664,-0.3479245911205323,0.3479245911205323,41
dwt_cD5_energy,dwt,D1,2575,665,18698.837866365997,23271.943731544037,0.3465697541889202,0.3465697541889202,42
time_crest_factor,time,D1,2575,665,9.716580606994292,11.428167672029197,0.3409777871593639,0.3409777871593639,43
dwt_cA5_entropy,dwt,D1,2575,665,3.9923649462655066,4.177196994687853,0.33671603109836484,0.33671603109836484,44
chroma_10_mean,chroma,D1,2575,665,0.7030105221677251,0.7265373488565422,0.3250858566325676,0.3250858566325676,45
dwt_cD5_entropy,dwt,D1,2575,665,3.547300207625542,3.733271925741067,0.32107309045646854,0.32107309045646854,46
freq_rolloff85_std,frequency,D1,2575,665,40.38623740140775,45.39962449492963,0.3124067971549149,0.3124067971549149,47
freq_rolloff85_mean,frequency,D1,2575,665,152.82769715941714,139.233273459554,-0.31173225164464385,0.31173225164464385,48
time_skewness,time,D1,2575,665,-0.23833572811437512,0.06614764953028962,0.30664051782343515,0.30664051782343515,49
env_std,envelope,D1,2575,665,1.0082290593929122,0.969221738705025,-0.30548569480786086,0.30548569480786086,50
time_duration,time,D1,2575,665,21.659277669902913,25.569081954887217,0.3050584886704589,0.3050584886704589,51
time_energy,time,D1,2575,665,43318.55534186773,51138.16391008654,0.305058488566308,0.305058488566308,52
mfcc_02_mean,mfcc,D1,2575,665,73.89301810645185,69.27857344767892,-0.2898879599076454,0.2898879599076454,53
chroma_05_mean,chroma,D1,2575,665,0.7665614237045659,0.7797925782520392,0.28730928973469677,0.28730928973469677,54
mfcc_01_mean,mfcc,D1,2575,665,2.527098326949364,-6.911580570222622,-0.27188122217963534,0.27188122217963534,55
freq_spectral_entropy,frequency,D1,2575,665,0.5335476104829174,0.5112296848179906,-0.2651073854117928,0.2651073854117928,56
mfcc_12_mean,mfcc,D1,2575,665,0.8180938785050829,1.1900151557366088,0.25561155830619936,0.25561155830619936,57
time_hjorth_mobility,time,D1,2575,665,0.20403796934601487,0.184320805663353,-0.2505273285066535,0.2505273285066535,58
time_min,time,D1,2575,665,-9.032754308552418,-10.114475611995037,-0.24625375425455584,0.24625375425455584,59
freq_bandwidth_std,frequency,D1,2575,665,15.300906635206424,16.45382829906601,0.24253337657007829,0.24253337657007829,60
freq_peak_power,frequency,D1,2575,665,0.03589775868401833,0.03956438517932136,0.23803439100342588,0.23803439100342588,61
chroma_03_std,chroma,D1,2575,665,0.15258053604406704,0.14817815760514308,-0.23303371705171344,0.23303371705171344,62
dwt_cD1_std,dwt,D1,2575,665,0.016498579805649026,0.022001454613956837,0.23261398243102013,0.23261398243102013,63
dwt_cD5_std,dwt,D1,2575,665,3.641645903499321,3.7695256572714566,0.23197836074552214,0.23197836074552214,64
chroma_06_mean,chroma,D1,2575,665,0.8107226046369311,0.8214097398387387,0.22916500131027662,0.22916500131027662,65
mfcc_09_mean,mfcc,D1,2575,665,0.23792545183967959,0.6868168271992325,0.22640414971750683,0.22640414971750683,66
freq_rolloff95_std,frequency,D1,2575,665,54.16361484781982,57.949791680885696,0.22302106585870876,0.22302106585870876,67
dwt_cD4_entropy,dwt,D1,2575,665,3.220487506899018,3.077120830829773,-0.20956200799265481,0.20956200799265481,68
chroma_09_std,chroma,D1,2575,665,0.15609032688617785,0.1519352467874375,-0.19772978372035205,0.19772978372035205,69
mfcc_13_std,mfcc,D1,2575,665,3.741233914293583,3.6483640977964638,-0.19375671129479166,0.19375671129479166,70
chroma_12_std,chroma,D1,2575,665,0.15786879581158822,0.1544538763736005,-0.1781570616864538,0.1781570616864538,71
mfcc_12_std,mfcc,D1,2575,665,3.860755241239552,3.7667301987730863,-0.17488104756584863,0.17488104756584863,72
mfcc_02_std,mfcc,D1,2575,665,16.64627196784109,15.883101276054395,-0.16852562310169578,0.16852562310169578,73
chroma_01_std,chroma,D1,2575,665,0.15574782386658223,0.15233501276225314,-0.16532599844983317,0.16532599844983317,74
chroma_08_mean,chroma,D1,2575,665,0.7724134717962297,0.7807470838387887,0.1644213498324941,0.1644213498324941,75
mfcc_04_std,mfcc,D1,2575,665,6.594332505563097,6.812800602821335,0.16300126015477603,0.16300126015477603,76
env_peak_rate,envelope,D1,2575,665,2.5036878269660887,2.5520432403672264,0.1574404236856522,0.1574404236856522,77
dwt_cD2_mean_abs,dwt,D1,2575,665,0.07294940881198554,0.06152416056203735,-0.157255804059588,0.157255804059588,78
mfcc_06_std,mfcc,D1,2575,665,5.1013103132210205,5.23120577236728,0.15354758160776175,0.15354758160776175,79
mfcc_11_std,mfcc,D1,2575,665,3.9863920239347532,3.900686662224466,-0.14910862808447922,0.14910862808447922,80
mfcc_03_delta_mean,mfcc,D1,2575,665,-0.0012812884862791808,-0.016812128442358666,-0.14761549298401858,0.14761549298401858,81
chroma_09_mean,chroma,D1,2575,665,0.7184493432271502,0.7280351972486578,0.14002261211898762,0.14002261211898762,82
freq_band_power_250_350,frequency,D1,2575,665,0.004688746558805327,0.007663408761352247,0.1379332630952843,0.1379332630952843,83
freq_centroid_std,frequency,D1,2575,665,19.354109049768518,20.463491079806374,0.1370334975388042,0.1370334975388042,84
dwt_cD2_energy,dwt,D1,2575,665,449.40386111512083,715.9489242568586,0.12954911556327045,0.12954911556327045,85
mfcc_10_std,mfcc,D1,2575,665,4.165849433873171,4.087154680389478,-0.12938272647576793,0.12938272647576793,86
dwt_cD1_energy,dwt,D1,2575,665,20.010771028984724,33.968379703037826,0.129249346775034,0.129249346775034,87
time_autocorr_peak_value,time,D1,2575,665,0.2815738887883876,0.26617276448194227,-0.12911047846384163,0.12911047846384163,88
chroma_07_mean,chroma,D1,2575,665,0.8210805049254031,0.8274461552437358,0.12688669065938182,0.12688669065938182,89
mfcc_10_mean,mfcc,D1,2575,665,1.5141202412680321,1.7226792850252735,0.12097957796588926,0.12097957796588926,90
dwt_cD2_std,dwt,D1,2575,665,0.1342111044236668,0.1512280633131291,0.11906077835596443,0.11906077835596443,91
time_sample_entropy,time,D1,2575,665,0.24089565643597025,0.22672044449702333,-0.11834999101360748,0.11834999101360748,92
mfcc_13_mean,mfcc,D1,2575,665,0.022857306209907863,0.18443555673018278,0.11781859961749118,0.11781859961749118,93
mfcc_07_std,mfcc,D1,2575,665,4.782998643195068,4.8758386166590215,0.11405492903989926,0.11405492903989926,94
chroma_06_std,chroma,D1,2575,665,0.1410744792636982,0.13859574998659635,-0.1135095134479416,0.1135095134479416,95
freq_rolloff95_mean,frequency,D1,2575,665,236.51955610471276,231.08978660612382,-0.10855307283860362,0.10855307283860362,96
env_kurtosis,envelope,D1,2575,665,9.68691610058655,11.491699417834955,0.09795961386651571,0.09795961386651571,97
freq_band_power_350_400,frequency,D1,2575,665,0.0007761953076779905,0.001103109325311168,0.08745221857826257,0.08745221857826257,98
dwt_cD3_energy,dwt,D1,2575,665,3163.4429174785582,2776.1792522202136,-0.07917155547897291,0.07917155547897291,99
chroma_08_std,chroma,D1,2575,665,0.14111319267112127,0.1395947041063944,-0.07412579503420999,0.07412579503420999,100
chroma_07_std,chroma,D1,2575,665,0.13899676279775147,0.14066498465478683,0.0714948616010653,0.0714948616010653,101
freq_total_power,frequency,D1,2575,665,0.9983739783207104,0.9952274680669295,-0.07029788869970524,0.07029788869970524,102
mfcc_11_mean,mfcc,D1,2575,665,0.2701658250877001,0.37658025421768776,0.06828437906077664,0.06828437906077664,103
freq_flatness_std,frequency,D1,2575,665,0.0004242430450622966,0.00047494580206342875,0.061794781614066166,0.061794781614066166,104
env_skew,envelope,D1,2575,665,2.670739817511204,2.7371655054064057,0.057201637308224466,0.057201637308224466,105
chroma_05_std,chroma,D1,2575,665,0.14328906984239756,0.14448959357271032,0.05508371050385973,0.05508371050385973,106
mfcc_01_delta_mean,mfcc,D1,2575,665,0.08162018839103488,0.044625310417579014,-0.05416408538912955,0.05416408538912955,107
mfcc_06_delta_mean,mfcc,D1,2575,665,4.899654224262444e-05,-0.002533645844970532,-0.05380687317479197,0.05380687317479197,108
dwt_cD1_mean_abs,dwt,D1,2575,665,0.009148946123449101,0.008509877968506073,-0.05377619905905305,0.05377619905905305,109
mfcc_05_delta_mean,mfcc,D1,2575,665,-0.0034958972567599588,-0.0063535309114933596,-0.04973449195058892,0.04973449195058892,110
chroma_04_std,chroma,D1,2575,665,0.15078558290095617,0.1499000060497374,-0.04636370184622808,0.04636370184622808,111
mfcc_02_delta_mean,mfcc,D1,2575,665,0.004278730532780701,-0.004069573391190126,-0.04578316083454831,0.04578316083454831,112
time_var,time,D1,2575,665,1.000000000059466,0.9999999999978747,-0.04559170565074138,0.04559170565074138,113
time_hjorth_activity,time,D1,2575,665,1.000000000059466,0.9999999999978747,-0.04559170565074138,0.04559170565074138,114
time_std,time,D1,2575,665,1.0000000000297329,0.9999999999989373,-0.04559162418956925,0.04559162418956925,115
time_rms,time,D1,2575,665,1.0000000000297329,0.9999999999989373,-0.045591624153544515,0.045591624153544515,116
time_median,time,D1,2575,665,0.0006584798193101876,0.000933007379474892,0.03777358939354796,0.03777358939354796,117
mfcc_13_delta_mean,mfcc,D1,2575,665,-0.0008617826459050059,-0.002023053515406665,-0.03567079515243138,0.03567079515243138,118
time_autocorr_peak_lag,time,D1,2575,665,0.0859052427184466,0.09345488721804512,0.033801911060723,0.033801911060723,119
chroma_02_std,chroma,D1,2575,665,0.15636267628642567,0.1556255104651543,-0.03340342115810072,0.03340342115810072,120
mfcc_11_delta_mean,mfcc,D1,2575,665,-0.00032614203427547414,0.0008264762303220664,0.03169220422903553,0.03169220422903553,121
mfcc_10_delta_mean,mfcc,D1,2575,665,0.0011320119807579393,2.3003923417608264e-05,-0.029889855689883425,0.029889855689883425,122
time_mean,time,D1,2575,665,-1.5122657914500655e-12,2.4174796543927347e-12,0.029611285547169776,0.029611285547169776,123
chroma_11_std,chroma,D1,2575,665,0.1560854057807841,0.1554613898560898,-0.028367955193222504,0.028367955193222504,124
time_kurtosis,time,D1,2575,665,21.434819050929455,20.517603177923586,-0.023995049591829805,0.023995049591829805,125
mfcc_08_std,mfcc,D1,2575,665,4.497596375547855,4.512408499484541,0.021676897139809918,0.021676897139809918,126
time_shannon_entropy,time,D1,2575,665,3.2675758231432517,3.2801958262357656,0.019394741590660444,0.019394741590660444,127
mfcc_12_delta_mean,mfcc,D1,2575,665,-0.0010167158445171947,-0.00036253455923586326,0.01850316393725857,0.01850316393725857,128
freq_flatness_mean,frequency,D1,2575,665,4.867790014912747e-05,5.02565159158826e-05,0.017133808085740092,0.017133808085740092,129
mfcc_07_delta_mean,mfcc,D1,2575,665,-0.0009942109160771383,-0.00024397973706577266,0.016226835131123933,0.016226835131123933,130
mfcc_09_std,mfcc,D1,2575,665,4.309656751209254,4.301390516852306,-0.013475728944803526,0.013475728944803526,131
mfcc_08_delta_mean,mfcc,D1,2575,665,-0.000237076325146396,0.00021062647141877224,0.011666849978233794,0.011666849978233794,132
mfcc_03_std,mfcc,D1,2575,665,9.973262728717433,9.95222650326219,-0.009252531372301557,0.009252531372301557,133
mfcc_04_delta_mean,mfcc,D1,2575,665,-0.0015605721264594947,-0.0011025447460090221,0.006498873075060441,0.006498873075060441,134
freq_band_power_150_250,frequency,D1,2575,665,0.025721550752171887,0.025424634433302475,-0.005386204376446349,0.005386204376446349,135
chroma_10_std,chroma,D1,2575,665,0.15815249345482124,0.15825836143335673,0.004860473884561027,0.004860473884561027,136
mfcc_09_delta_mean,mfcc,D1,2575,665,-0.0002347810114625835,-0.00039325909137940363,-0.0038857119217933942,0.0038857119217933942,137
freq_bandwidth_mean,frequency,D1,2575,665,71.49836528433889,71.5110000306082,0.0009511407220102431,0.0009511407220102431,138
