record_uid,dataset_source,subset,file_path,original_fs,fs,n_samples,duration_sec,rms,peak,crest_factor_db,dynamic_range_db,clipping_ratio,silence_ratio,snr_proxy_db,drift_ratio_db,spectral_flatness,zcr_mean,zcr_std,zcr_anomaly,is_short,is_clipped,is_silent,is_noisy,is_low_quality,quality_reasons
D1_training-a_a0063,D1,training-a,dataset/archive (3)/training-a/a0063.wav,2000,2000,71332,35.666,0.018328,0.212372,21.279417,12.072076,0.0,0.0,24.321526,-6.712569,0.01729,0.06702,0.022501,0.263695,False,False,False,False,False,
D1_training-a_a0064,D1,training-a,dataset/archive (3)/training-a/a0064.wav,2000,2000,71193,35.5965,0.017554,0.167633,19.599427,11.864677,0.0,0.0,32.331168,-6.807159,0.002767,0.0367,0.009638,0.442324,False,False,False,False,False,
D1_training-a_a0065,D1,training-a,dataset/archive (3)/training-a/a0065.wav,2000,2000,71472,35.736,0.037491,0.341492,19.189012,14.895309,0.0,0.0,32.460062,-11.151983,0.005686,0.055383,0.012138,0.007278,False,False,False,False,False,
D1_training-a_a0066,D1,training-a,dataset/archive (3)/training-a/a0066.wav,2000,2000,71193,35.5965,0.035615,0.371124,20.357769,10.279113,0.0,0.0,24.546516,-8.610829,0.004964,0.048962,0.011151,0.156797,False,False,False,False,False,
D1_training-a_a0067,D1,training-a,dataset/archive (3)/training-a/a0067.wav,2000,2000,41657,20.8285,0.008146,0.154755,25.574488,9.226618,0.0,0.0,19.787823,-6.133445,0.022123,0.065775,0.018544,0.234721,False,False,False,False,False,
D1_training-a_a0068,D1,training-a,dataset/archive (3)/training-a/a0068.wav,2000,2000,71472,35.736,0.035011,1.0,29.115914,14.932147,5.6e-05,0.0,10.760031,-10.261212,0.022724,0.046453,0.017113,0.215213,False,False,False,False,False,
D1_training-a_a0069,D1,training-a,dataset/archive (3)/training-a/a0069.wav,2000,2000,61998,30.999,0.046775,0.462463,19.901312,12.56518,0.0,0.0,24.288887,-7.195732,0.006352,0.038714,0.01338,0.395435,False,False,False,False,False,
D1_training-a_a0070,D1,training-a,dataset/archive (3)/training-a/a0070.wav,2000,2000,61580,30.79,0.13143,1.0,17.626123,10.568645,0.000422,0.0,41.596742,-4.501541,0.000457,0.036284,0.00724,0.452021,False,False,False,False,False,
D1_training-a_a0071,D1,training-a,dataset/archive (3)/training-a/a0071.wav,2000,2000,59259,29.6295,0.066951,0.592682,18.941344,16.674779,0.0,0.0,23.359577,-11.70618,0.011309,0.051902,0.028148,0.088333,False,False,False,False,False,
D1_training-a_a0072,D1,training-a,dataset/archive (3)/training-a/a0072.wav,2000,2000,72586,36.293,0.10207,0.999969,19.821794,16.001345,8.3e-05,0.0,40.565024,-7.406792,0.001348,0.036514,0.008395,0.446671,False,False,False,False,False,
D1_training-a_a0073,D1,training-a,dataset/archive (3)/training-a/a0073.wav,2000,2000,71332,35.666,0.015955,0.104523,16.326298,11.672872,0.0,0.0,19.15016,-2.200514,0.018989,0.066124,0.0266,0.242843,False,False,False,False,False,
D1_training-a_a0074,D1,training-a,dataset/archive (3)/training-a/a0074.wav,2000,2000,71193,35.5965,0.048487,0.360046,17.414726,14.996849,0.0,0.0,32.62794,-5.276578,0.003119,0.044844,0.016496,0.252684,False,False,False,False,False,
D1_training-a_a0075,D1,training-a,dataset/archive (3)/training-a/a0075.wav,2000,2000,71472,35.736,0.045815,1.0,26.779803,19.602831,0.000616,0.035971,25.92643,-1.210796,0.028981,0.061151,0.052775,0.127038,False,False,False,False,False,
D1_training-a_a0076,D1,training-a,dataset/archive (3)/training-a/a0076.wav,2000,2000,71332,35.666,0.041967,0.354126,18.524969,15.190364,0.0,0.0,35.097289,-8.755081,0.005034,0.043286,0.011535,0.28897,False,False,False,False,False,
D1_training-a_a0077,D1,training-a,dataset/archive (3)/training-a/a0077.wav,2000,2000,71472,35.736,0.046227,0.377045,18.229962,22.211992,0.0,0.0,25.704812,-10.09044,0.006211,0.037833,0.014557,0.41595,False,False,False,False,False,
D1_training-a_a0078,D1,training-a,dataset/archive (3)/training-a/a0078.wav,2000,2000,71472,35.736,0.029949,0.321381,20.61268,13.780045,0.0,0.0,19.600975,-8.47679,0.015823,0.073811,0.049878,0.421845,False,False,False,False,False,
D1_training-a_a0079,D1,training-a,dataset/archive (3)/training-a/a0079.wav,2000,2000,61301,30.6505,0.009977,0.086639,18.774055,10.947158,0.0,0.0,23.323365,-4.918122,0.004396,0.041524,0.009421,0.329991,False,False,False,False,False,
D1_training-a_a0080,D1,training-a,dataset/archive (3)/training-a/a0080.wav,2000,2000,61998,30.999,0.142034,0.999969,16.951907,16.803538,0.001032,0.0,40.063013,-13.787902,0.001942,0.041648,0.007809,0.327119,False,False,False,False,False,
D1_training-a_a0081,D1,training-a,dataset/archive (3)/training-a/a0081.wav,2000,2000,71332,35.666,0.061799,0.791595,22.150476,16.936548,0.0,0.0,33.008951,-15.377724,0.003853,0.04196,0.010915,0.319838,False,False,False,False,False,
D1_training-a_a0082,D1,training-a,dataset/archive (3)/training-a/a0082.wav,2000,2000,61301,30.6505,0.004758,0.091125,25.643493,12.801491,0.0,0.0,16.230589,-1.40549,0.044874,0.106659,0.044879,1.186735,False,False,False,False,False,
D1_training-a_a0083,D1,training-a,dataset/archive (3)/training-a/a0083.wav,2000,2000,71332,35.666,0.04529,0.506683,20.974761,17.475825,0.0,0.0,34.27101,-8.06207,0.002094,0.03242,0.007471,0.541988,False,False,False,False,False,
D1_training-a_a0084,D1,training-a,dataset/archive (3)/training-a/a0084.wav,2000,2000,61580,30.79,0.015593,0.18692,21.574355,10.566684,0.0,0.0,20.097435,-5.028871,0.008021,0.044505,0.015971,0.260583,False,False,False,False,False,
D1_training-a_a0085,D1,training-a,dataset/archive (3)/training-a/a0085.wav,2000,2000,61719,30.8595,0.095917,0.824768,18.688716,12.243553,0.0,0.0,40.956257,-5.49968,0.000806,0.037573,0.007844,0.421999,False,False,False,False,False,
D1_training-a_a0086,D1,training-a,dataset/archive (3)/training-a/a0086.wav,2000,2000,72447,36.2235,0.033567,0.527222,23.921612,14.118715,0.0,0.0,26.042027,-8.461696,0.005543,0.040668,0.011547,0.349932,False,False,False,False,False,
D1_training-a_a0087,D1,training-a,dataset/archive (3)/training-a/a0087.wav,2000,2000,41239,20.6195,0.052802,0.464447,18.885643,11.263069,0.0,0.0,38.718435,-11.219588,0.001195,0.039587,0.005672,0.375097,False,False,False,False,False,
D1_training-a_a0088,D1,training-a,dataset/archive (3)/training-a/a0088.wav,2000,2000,72029,36.0145,0.021634,0.246979,21.15042,11.787843,0.0,0.0,26.505696,-7.289052,0.008659,0.065109,0.023421,0.219198,False,False,False,False,False,
D1_training-a_a0089,D1,training-a,dataset/archive (3)/training-a/a0089.wav,2000,2000,41936,20.968,0.015728,0.095123,15.632138,6.092176,0.0,0.0,19.816815,-5.953388,0.009329,0.07587,0.020683,0.469796,False,False,False,False,False,
D1_training-a_a0090,D1,training-a,dataset/archive (3)/training-a/a0090.wav,2000,2000,40821,20.4105,0.041134,0.410614,19.984587,12.788305,0.0,0.0,35.888937,-7.9686,0.001594,0.034711,0.0081,0.488644,False,False,False,False,False,
D1_training-a_a0091,D1,training-a,dataset/archive (3)/training-a/a0091.wav,2000,2000,61301,30.6505,0.034232,0.454865,22.469108,16.420528,0.0,0.0,32.380977,-6.519874,0.006634,0.052488,0.013646,0.074688,False,False,False,False,False,
D1_training-a_a0092,D1,training-a,dataset/archive (3)/training-a/a0092.wav,2000,2000,71750,35.875,0.007908,0.072571,19.253874,14.097193,0.0,0.0,22.837018,-9.365339,0.024051,0.063627,0.015454,0.184694,False,False,False,False,False,
D1_training-a_a0093,D1,training-a,dataset/archive (3)/training-a/a0093.wav,2000,2000,61440,30.72,0.01869,0.265869,23.061208,13.770423,0.0,0.0,30.644773,-8.589299,0.003873,0.042493,0.009572,0.307442,False,False,False,False,False,
D1_training-a_a0094,D1,training-a,dataset/archive (3)/training-a/a0094.wav,2000,2000,71332,35.666,0.021013,0.172546,18.288358,19.726906,0.0,0.0,30.702253,-11.436022,0.008619,0.052276,0.013698,0.079627,False,False,False,False,False,
D1_training-a_a0095,D1,training-a,dataset/archive (3)/training-a/a0095.wav,2000,2000,71193,35.5965,0.039224,0.471893,21.60586,19.154785,0.0,0.0,28.300228,-7.216474,0.007166,0.048179,0.013845,0.175022,False,False,False,False,False,
D1_training-a_a0096,D1,training-a,dataset/archive (3)/training-a/a0096.wav,2000,2000,71332,35.666,0.028603,0.324615,21.099088,13.687268,0.0,0.0,17.349771,-0.395837,0.01429,0.063078,0.024553,0.171913,False,False,False,False,False,
D1_training-a_a0097,D1,training-a,dataset/archive (3)/training-a/a0097.wav,2000,2000,71332,35.666,0.032069,0.294769,19.267977,15.50755,0.0,0.0,32.267533,-4.096466,0.004513,0.043216,0.012708,0.290612,False,False,False,False,False,
D1_training-a_a0098,D1,training-a,dataset/archive (3)/training-a/a0098.wav,2000,2000,57085,28.5425,0.014988,0.294891,25.878235,18.21349,0.0,0.0,21.20818,-13.39683,0.019578,0.097603,0.060438,0.975868,False,False,False,False,False,
D1_training-a_a0099,D1,training-a,dataset/archive (3)/training-a/a0099.wav,2000,2000,71332,35.666,0.043995,0.299286,16.653747,12.553202,0.0,0.0,34.216438,-8.37789,0.001566,0.034268,0.007065,0.49897,False,False,False,False,False,
D1_training-a_a0100,D1,training-a,dataset/archive (3)/training-a/a0100.wav,2000,2000,41239,20.6195,0.004738,0.131226,28.847641,10.532249,0.0,0.0,19.670965,-10.973952,0.037425,0.098303,0.028776,0.992169,False,False,False,False,False,
D1_training-a_a0101,D1,training-a,dataset/archive (3)/training-a/a0101.wav,2000,2000,71611,35.8055,0.03708,0.246613,16.45748,8.861677,0.0,0.0,34.83096,-3.577207,0.001382,0.031039,0.006675,0.574151,False,False,False,False,False,
D1_training-a_a0102,D1,training-a,dataset/archive (3)/training-a/a0102.wav,2000,2000,71193,35.5965,0.066168,0.498566,17.541519,15.144886,0.0,0.0,35.458277,-10.898023,0.003405,0.036031,0.009008,0.457922,False,False,False,False,False,
D1_training-a_a0103,D1,training-a,dataset/archive (3)/training-a/a0103.wav,2000,2000,41796,20.898,0.016798,0.156067,19.361067,12.534836,0.0,0.0,24.534658,-4.843618,0.013675,0.053844,0.017852,0.043126,False,False,False,False,False,
D1_training-a_a0104,D1,training-a,dataset/archive (3)/training-a/a0104.wav,2000,2000,41239,20.6195,0.063008,0.581146,19.297741,12.112166,0.0,0.0,37.248916,-7.322545,0.000695,0.036536,0.006432,0.446161,False,False,False,False,False,
D1_training-a_a0105,D1,training-a,dataset/archive (3)/training-a/a0105.wav,2000,2000,70485,35.2425,0.067584,0.485046,17.118813,20.746909,0.0,0.0,-0.232263,-10.779823,0.152846,0.164847,0.191353,2.541708,False,False,False,True,True,low_snr
D1_training-a_a0106,D1,training-a,dataset/archive (3)/training-a/a0106.wav,2000,2000,71332,35.666,0.023435,0.230255,19.846825,11.667917,0.0,0.0,27.157356,-7.299023,0.006055,0.043272,0.013074,0.289298,False,False,False,False,False,
D1_training-a_a0107,D1,training-a,dataset/archive (3)/training-a/a0107.wav,2000,2000,72586,36.293,0.013915,0.120941,18.781711,14.379876,0.0,0.0,25.626863,-9.465073,0.007592,0.046695,0.014459,0.20959,False,False,False,False,False,
D1_training-a_a0108,D1,training-a,dataset/archive (3)/training-a/a0108.wav,2000,2000,64969,32.4845,0.009784,0.103271,20.46904,14.418747,0.0,0.0,31.738291,-10.665915,0.005718,0.0482,0.010472,0.174535,False,False,False,False,False,
D1_training-a_a0109,D1,training-a,dataset/archive (3)/training-a/a0109.wav,2000,2000,61301,30.6505,0.069534,0.99649,23.125513,17.551683,1.6e-05,0.0,34.945033,-12.298862,0.003899,0.045029,0.008819,0.248394,False,False,False,False,False,
D1_training-a_a0110,D1,training-a,dataset/archive (3)/training-a/a0110.wav,2000,2000,71193,35.5965,0.021205,0.176392,18.40089,7.985451,0.0,0.0,29.825876,-6.727724,0.002529,0.037131,0.00775,0.432308,False,False,False,False,False,
D1_training-a_a0111,D1,training-a,dataset/archive (3)/training-a/a0111.wav,2000,2000,71332,35.666,0.004295,0.065002,23.599965,7.89859,0.0,0.0,21.019634,-6.727266,0.016659,0.066724,0.01626,0.256799,False,False,False,False,False,
