manifest,entry,file_type,status,detail
RECORDS,training_data/49561_MV,.wav,ok,
RECORDS,training_data/49561_PV,.wav,ok,
RECORDS,training_data/49561_TV,.wav,ok,
RECORDS,training_data/49562_AV,.wav,ok,
RECORDS,training_data/49562_MV,.wav,ok,
RECORDS,training_data/49562_PV,.wav,ok,
RECORDS,training_data/49562_TV,.wav,ok,
RECORDS,training_data/49568_AV,.wav,ok,
RECORDS,training_data/49568_MV,.wav,ok,
RECORDS,training_data/49568_PV,.wav,ok,
RECORDS,training_data/49568_TV,.wav,ok,
RECORDS,training_data/49572_MV,.wav,ok,
RECORDS,training_data/49572_PV,.wav,ok,
RECORDS,training_data/49572_TV,.wav,ok,
RECORDS,training_data/49574_AV,.wav,ok,
RECORDS,training_data/49574_MV,.wav,ok,
RECORDS,training_data/49574_PV,.wav,ok,
RECORDS,training_data/49574_TV,.wav,ok,
RECORDS,training_data/49577_AV,.wav,ok,
RECORDS,training_data/49577_MV,.wav,ok,
RECORDS,training_data/49577_PV,.wav,ok,
RECORDS,training_data/49577_TV,.wav,ok,
RECORDS,training_data/49585_AV,.wav,ok,
RECORDS,training_data/49585_MV,.wav,ok,
RECORDS,training_data/49585_PV,.wav,ok,
RECORDS,training_data/49585_TV,.wav,ok,
RECORDS,training_data/49595_AV,.wav,ok,
RECORDS,training_data/49595_MV,.wav,ok,
RECORDS,training_data/49598_AV,.wav,ok,
RECORDS,training_data/49598_MV,.wav,ok,
RECORDS,training_data/49607_MV,.wav,ok,
RECORDS,training_data/49610_AV,.wav,ok,
RECORDS,training_data/49610_MV,.wav,ok,
RECORDS,training_data/49610_PV,.wav,ok,
RECORDS,training_data/49610_TV,.wav,ok,
RECORDS,training_data/49618_AV,.wav,ok,
RECORDS,training_data/49618_MV,.wav,ok,
RECORDS,training_data/49622_AV,.wav,ok,
RECORDS,training_data/49622_MV,.wav,ok,
RECORDS,training_data/49627_AV,.wav,ok,
RECORDS,training_data/49627_MV,.wav,ok,
RECORDS,training_data/49627_PV,.wav,ok,
RECORDS,training_data/49627_TV,.wav,ok,
RECORDS,training_data/49628_AV,.wav,ok,
RECORDS,training_data/49628_MV,.wav,ok,
RECORDS,training_data/49628_PV,.wav,ok,
RECORDS,training_data/49628_TV,.wav,ok,
RECORDS,training_data/49630_AV,.wav,ok,
RECORDS,training_data/49630_MV,.wav,ok,
RECORDS,training_data/49630_PV,.wav,ok,
RECORDS,training_data/49630_TV,.wav,ok,
RECORDS,training_data/49631_AV,.wav,ok,
RECORDS,training_data/49631_MV,.wav,ok,
RECORDS,training_data/49638_AV,.wav,ok,
RECORDS,training_data/49638_MV,.wav,ok,
RECORDS,training_data/49638_PV,.wav,ok,
RECORDS,training_data/49641_AV,.wav,ok,
RECORDS,training_data/49641_MV,.wav,ok,
RECORDS,training_data/49641_PV,.wav,ok,
RECORDS,training_data/49641_TV,.wav,ok,
RECORDS,training_data/49653_AV,.wav,ok,
RECORDS,training_data/49653_MV,.wav,ok,
RECORDS,training_data/49653_PV,.wav,ok,
RECORDS,training_data/49653_TV,.wav,ok,
RECORDS,training_data/49659_AV,.wav,ok,
RECORDS,training_data/49659_MV,.wav,ok,
RECORDS,training_data/49659_PV,.wav,ok,
RECORDS,training_data/49659_TV,.wav,ok,
RECORDS,training_data/49661_AV,.wav,ok,
RECORDS,training_data/49661_MV,.wav,ok,
RECORDS,training_data/49669_MV,.wav,ok,
RECORDS,training_data/49669_PV,.wav,ok,
RECORDS,training_data/49678_AV,.wav,ok,
RECORDS,training_data/49678_MV,.wav,ok,
RECORDS,training_data/49678_PV,.wav,ok,
RECORDS,training_data/49678_TV,.wav,ok,
RECORDS,training_data/49683_AV,.wav,ok,
RECORDS,training_data/49683_MV,.wav,ok,
RECORDS,training_data/49683_PV,.wav,ok,
RECORDS,training_data/49683_TV,.wav,ok,
RECORDS,training_data/49687_AV,.wav,ok,
RECORDS,training_data/49687_MV,.wav,ok,
RECORDS,training_data/49687_PV,.wav,ok,
RECORDS,training_data/49687_TV,.wav,ok,
RECORDS,training_data/49691_AV,.wav,ok,
RECORDS,training_data/49691_MV,.wav,ok,
RECORDS,training_data/49691_PV,.wav,ok,
RECORDS,training_data/49691_TV,.wav,ok,
RECORDS,training_data/49704_AV,.wav,ok,
RECORDS,training_data/49704_MV,.wav,ok,
RECORDS,training_data/49712_AV,.wav,ok,
RECORDS,training_data/49712_MV,.wav,ok,
RECORDS,training_data/49712_PV,.wav,ok,
RECORDS,training_data/49712_TV,.wav,ok,
RECORDS,training_data/49719_AV,.wav,ok,
RECORDS,training_data/49719_MV,.wav,ok,
RECORDS,training_data/49719_PV,.wav,ok,
RECORDS,training_data/49719_TV,.wav,ok,
RECORDS,training_data/49729_AV,.wav,ok,
RECORDS,training_data/49729_MV,.wav,ok,
RECORDS,training_data/49729_PV,.wav,ok,
RECORDS,training_data/49729_TV,.wav,ok,
RECORDS,training_data/49735_MV,.wav,ok,
RECORDS,training_data/49735_PV,.wav,ok,
RECORDS,training_data/49735_TV,.wav,ok,
RECORDS,training_data/49745_AV,.wav,ok,
RECORDS,training_data/49745_MV,.wav,ok,
RECORDS,training_data/49745_PV,.wav,ok,
RECORDS,training_data/49745_TV,.wav,ok,
RECORDS,training_data/49748_AV_1,.wav,ok,
RECORDS,training_data/49748_AV_2,.wav,ok,
RECORDS,training_data/49748_MV,.wav,ok,
RECORDS,training_data/49748_PV_1,.wav,ok,
RECORDS,training_data/49748_PV_2,.wav,ok,
RECORDS,training_data/49748_TV,.wav,ok,
RECORDS,training_data/49751_AV,.wav,ok,
RECORDS,training_data/49751_MV,.wav,ok,
RECORDS,training_data/49751_PV,.wav,ok,
RECORDS,training_data/49751_TV,.wav,ok,
RECORDS,training_data/49754_AV,.wav,ok,
RECORDS,training_data/49754_MV,.wav,ok,
RECORDS,training_data/49754_PV,.wav,ok,
RECORDS,training_data/49754_TV,.wav,ok,
RECORDS,training_data/49761_AV,.wav,ok,
RECORDS,training_data/49761_MV,.wav,ok,
RECORDS,training_data/49776_AV,.wav,ok,
RECORDS,training_data/49776_MV,.wav,ok,
RECORDS,training_data/49808_MV,.wav,ok,
RECORDS,training_data/49808_PV,.wav,ok,
RECORDS,training_data/49808_TV,.wav,ok,
RECORDS,training_data/49821_AV,.wav,ok,
RECORDS,training_data/49821_MV,.wav,ok,
RECORDS,training_data/49821_PV,.wav,ok,
RECORDS,training_data/49821_TV,.wav,ok,
RECORDS,training_data/49823_MV,.wav,ok,
RECORDS,training_data/49823_PV,.wav,ok,
RECORDS,training_data/49823_TV,.wav,ok,
RECORDS,training_data/49824_AV,.wav,ok,
RECORDS,training_data/49824_MV,.wav,ok,
RECORDS,training_data/49824_PV,.wav,ok,
RECORDS,training_data/49829_AV,.wav,ok,
RECORDS,training_data/49829_MV,.wav,ok,
RECORDS,training_data/49829_PV,.wav,ok,
RECORDS,training_data/49829_TV,.wav,ok,
RECORDS,training_data/49832_AV,.wav,ok,
RECORDS,training_data/49832_MV,.wav,ok,
RECORDS,training_data/49838_MV,.wav,ok,
RECORDS,training_data/49839_AV,.wav,ok,
RECORDS,training_data/49839_MV,.wav,ok,
RECORDS,training_data/49839_PV,.wav,ok,
RECORDS,training_data/49839_TV,.wav,ok,
RECORDS,training_data/49842_AV,.wav,ok,
RECORDS,training_data/49842_MV,.wav,ok,
RECORDS,training_data/49842_PV,.wav,ok,
RECORDS,training_data/49842_TV,.wav,ok,
RECORDS,training_data/49850_AV,.wav,ok,
RECORDS,training_data/49850_MV,.wav,ok,
RECORDS,training_data/49853_AV,.wav,ok,
RECORDS,training_data/49853_MV,.wav,ok,
RECORDS,training_data/49853_PV,.wav,ok,
RECORDS,training_data/49853_TV,.wav,ok,
RECORDS,training_data/49854_AV,.wav,ok,
RECORDS,training_data/49854_MV,.wav,ok,
RECORDS,training_data/49854_PV,.wav,ok,
RECORDS,training_data/49854_TV,.wav,ok,
RECORDS,training_data/49873_AV,.wav,ok,
RECORDS,training_data/49873_MV,.wav,ok,
RECORDS,training_data/49876_AV,.wav,ok,
RECORDS,training_data/49876_MV,.wav,ok,
RECORDS,training_data/49876_PV,.wav,ok,
RECORDS,training_data/49876_TV,.wav,ok,
RECORDS,training_data/49896_AV,.wav,ok,
RECORDS,training_data/49896_MV,.wav,ok,
RECORDS,training_data/49896_PV,.wav,ok,
RECORDS,training_data/49896_TV,.wav,ok,
RECORDS,training_data/49897_AV,.wav,ok,
RECORDS,training_data/49897_MV,.wav,ok,
RECORDS,training_data/49897_PV,.wav,ok,
RECORDS,training_data/49897_TV,.wav,ok,
RECORDS,training_data/49900_AV,.wav,ok,
RECORDS,training_data/49900_MV,.wav,ok,
RECORDS,training_data/49930_AV,.wav,ok,
RECORDS,training_data/49930_MV,.wav,ok,
RECORDS,training_data/49930_PV,.wav,ok,
RECORDS,training_data/49930_TV,.wav,ok,
RECORDS,training_data/49931_AV,.wav,ok,
RECORDS,training_data/49931_PV,.wav,ok,
RECORDS,training_data/49931_TV,.wav,ok,
RECORDS,training_data/49946_MV,.wav,ok,
RECORDS,training_data/49946_PV,.wav,ok,
RECORDS,training_data/49946_TV,.wav,ok,
RECORDS,training_data/49952_AV,.wav,ok,
RECORDS,training_data/49952_MV_1,.wav,ok,
RECORDS,training_data/49952_MV_2,.wav,ok,
RECORDS,training_data/49952_PV,.wav,ok,
RECORDS,training_data/49952_TV,.wav,ok,
RECORDS,training_data/49959_AV,.wav,ok,
RECORDS,training_data/49959_MV,.wav,ok,
RECORDS,training_data/49960_AV,.wav,ok,
RECORDS,training_data/49960_MV,.wav,ok,
RECORDS,training_data/49960_PV,.wav,ok,
RECORDS,training_data/49960_TV,.wav,ok,
RECORDS,training_data/49963_AV,.wav,ok,
RECORDS,training_data/49963_MV,.wav,ok,
RECORDS,training_data/49963_PV,.wav,ok,
RECORDS,training_data/49963_TV,.wav,ok,
RECORDS,training_data/49966_MV,.wav,ok,
RECORDS,training_data/49968_MV,.wav,ok,
RECORDS,training_data/49968_PV,.wav,ok,
RECORDS,training_data/49968_TV,.wav,ok,
RECORDS,training_data/49969_MV,.wav,ok,
RECORDS,training_data/49970_AV,.wav,ok,
RECORDS,training_data/49970_MV,.wav,ok,
RECORDS,training_data/49974_AV,.wav,ok,
RECORDS,training_data/49974_MV,.wav,ok,
RECORDS,training_data/49974_PV,.wav,ok,
RECORDS,training_data/49974_TV,.wav,ok,
RECORDS,training_data/49978_PV,.wav,ok,
RECORDS,training_data/49979_MV,.wav,ok,
RECORDS,training_data/49980_AV,.wav,ok,
RECORDS,training_data/49980_MV,.wav,ok,
RECORDS,training_data/49980_PV,.wav,ok,
RECORDS,training_data/49980_TV,.wav,ok,
RECORDS,training_data/49983_AV,.wav,ok,
RECORDS,training_data/49983_MV,.wav,ok,
RECORDS,training_data/49983_PV,.wav,ok,
RECORDS,training_data/49983_TV,.wav,ok,
RECORDS,training_data/49986_AV,.wav,ok,
RECORDS,training_data/49986_MV,.wav,ok,
RECORDS,training_data/49987_AV,.wav,ok,
RECORDS,training_data/49987_MV,.wav,ok,
RECORDS,training_data/49988_AV,.wav,ok,
RECORDS,training_data/49988_MV,.wav,ok,
RECORDS,training_data/49988_PV,.wav,ok,
RECORDS,training_data/49988_TV,.wav,ok,
RECORDS,training_data/49989_MV,.wav,ok,
RECORDS,training_data/49989_PV,.wav,ok,
RECORDS,training_data/49990_AV,.wav,ok,
RECORDS,training_data/49990_MV,.wav,ok,
RECORDS,training_data/49990_PV,.wav,ok,
RECORDS,training_data/49990_TV,.wav,ok,
RECORDS,training_data/49993_AV,.wav,ok,
RECORDS,training_data/49993_MV,.wav,ok,
RECORDS,training_data/49993_PV,.wav,ok,
RECORDS,training_data/49993_TV,.wav,ok,
RECORDS,training_data/49994_AV,.wav,ok,
RECORDS,training_data/49994_MV,.wav,ok,
RECORDS,training_data/49994_PV,.wav,ok,
RECORDS,training_data/49994_TV,.wav,ok,
RECORDS,training_data/49995_AV,.wav,ok,
RECORDS,training_data/49995_MV,.wav,ok,
RECORDS,training_data/49995_PV,.wav,ok,
RECORDS,training_data/49995_TV,.wav,ok,
RECORDS,training_data/49998_MV,.wav,ok,
RECORDS,training_data/49998_PV,.wav,ok,
RECORDS,training_data/49998_TV,.wav,ok,
RECORDS,training_data/49999_AV,.wav,ok,
RECORDS,training_data/49999_MV,.wav,ok,
RECORDS,training_data/49999_PV,.wav,ok,
RECORDS,training_data/49999_TV,.wav,ok,
RECORDS,training_data/50001_AV,.wav,ok,
RECORDS,training_data/50001_MV,.wav,ok,
RECORDS,training_data/50001_PV,.wav,ok,
RECORDS,training_data/50001_TV,.wav,ok,
RECORDS,training_data/50004_MV,.wav,ok,
RECORDS,training_data/50004_PV,.wav,ok,
RECORDS,training_data/50004_TV,.wav,ok,
RECORDS,training_data/50005_MV,.wav,ok,
RECORDS,training_data/50006_AV,.wav,ok,
RECORDS,training_data/50006_MV,.wav,ok,
RECORDS,training_data/50007_AV,.wav,ok,
RECORDS,training_data/50007_MV,.wav,ok,
RECORDS,training_data/50007_PV,.wav,ok,
RECORDS,training_data/50007_TV,.wav,ok,
RECORDS,training_data/50008_AV,.wav,ok,
RECORDS,training_data/50008_MV,.wav,ok,
RECORDS,training_data/50008_PV,.wav,ok,
RECORDS,training_data/50008_TV,.wav,ok,
RECORDS,training_data/50009_AV,.wav,ok,
RECORDS,training_data/50012_MV,.wav,ok,
RECORDS,training_data/50014_AV,.wav,ok,
RECORDS,training_data/50014_MV,.wav,ok,
RECORDS,training_data/50014_PV,.wav,ok,
RECORDS,training_data/50014_TV,.wav,ok,
RECORDS,training_data/50015_AV,.wav,ok,
RECORDS,training_data/50015_MV,.wav,ok,
RECORDS,training_data/50015_PV,.wav,ok,
RECORDS,training_data/50015_TV,.wav,ok,
RECORDS,training_data/50017_AV,.wav,ok,
RECORDS,training_data/50017_MV,.wav,ok,
RECORDS,training_data/50017_PV,.wav,ok,
RECORDS,training_data/50017_TV,.wav,ok,
RECORDS,training_data/50018_AV,.wav,ok,
RECORDS,training_data/50018_MV,.wav,ok,
RECORDS,training_data/50023_AV,.wav,ok,
RECORDS,training_data/50023_MV,.wav,ok,
RECORDS,training_data/50023_PV,.wav,ok,
RECORDS,training_data/50023_TV,.wav,ok,
RECORDS,training_data/50026_AV,.wav,ok,
RECORDS,training_data/50026_MV,.wav,ok,
RECORDS,training_data/50027_AV,.wav,ok,
RECORDS,training_data/50027_MV,.wav,ok,
RECORDS,training_data/50029_AV,.wav,ok,
RECORDS,training_data/50029_MV,.wav,ok,
RECORDS,training_data/50029_PV,.wav,ok,
RECORDS,training_data/50029_TV,.wav,ok,
RECORDS,training_data/50030_MV,.wav,ok,
RECORDS,training_data/50030_PV,.wav,ok,
RECORDS,training_data/50030_TV,.wav,ok,
RECORDS,training_data/50032_PV,.wav,ok,
RECORDS,training_data/50032_TV_1,.wav,ok,
RECORDS,training_data/50032_TV_2,.wav,ok,
RECORDS,training_data/50034_AV,.wav,ok,
RECORDS,training_data/50034_MV,.wav,ok,
RECORDS,training_data/50037_AV,.wav,ok,
RECORDS,training_data/50037_MV,.wav,ok,
RECORDS,training_data/50043_AV,.wav,ok,
RECORDS,training_data/50043_PV,.wav,ok,
RECORDS,training_data/50043_TV,.wav,ok,
RECORDS,training_data/50047_MV,.wav,ok,
RECORDS,training_data/50047_PV,.wav,ok,
RECORDS,training_data/50047_TV,.wav,ok,
RECORDS,training_data/50048_MV,.wav,ok,
RECORDS,training_data/50048_PV,.wav,ok,
RECORDS,training_data/50048_TV,.wav,ok,
RECORDS,training_data/50049_AV,.wav,ok,
RECORDS,training_data/50049_MV,.wav,ok,
RECORDS,training_data/50049_PV,.wav,ok,
RECORDS,training_data/50049_TV,.wav,ok,
RECORDS,training_data/50053_AV,.wav,ok,
RECORDS,training_data/50053_PV,.wav,ok,
RECORDS,training_data/50053_TV,.wav,ok,
RECORDS,training_data/50054_AV,.wav,ok,
RECORDS,training_data/50054_MV,.wav,ok,
RECORDS,training_data/50054_PV,.wav,ok,
RECORDS,training_data/50054_TV,.wav,ok,
RECORDS,training_data/50056_AV,.wav,ok,
RECORDS,training_data/50056_MV,.wav,ok,
RECORDS,training_data/50056_PV,.wav,ok,
RECORDS,training_data/50056_TV,.wav,ok,
RECORDS,training_data/50057_MV,.wav,ok,
RECORDS,training_data/50057_PV,.wav,ok,
RECORDS,training_data/50057_TV,.wav,ok,
RECORDS,training_data/50061_AV,.wav,ok,
RECORDS,training_data/50061_MV,.wav,ok,
RECORDS,training_data/50061_PV,.wav,ok,
RECORDS,training_data/50061_TV,.wav,ok,
RECORDS,training_data/50066_AV,.wav,ok,
RECORDS,training_data/50066_MV,.wav,ok,
RECORDS,training_data/50067_MV,.wav,ok,
RECORDS,training_data/50067_PV,.wav,ok,
RECORDS,training_data/50067_TV,.wav,ok,
RECORDS,training_data/50070_AV,.wav,ok,
RECORDS,training_data/50070_MV,.wav,ok,
RECORDS,training_data/50070_PV,.wav,ok,
RECORDS,training_data/50070_TV,.wav,ok,
RECORDS,training_data/50072_MV,.wav,ok,
RECORDS,training_data/50072_PV,.wav,ok,
RECORDS,training_data/50072_TV,.wav,ok,
RECORDS,training_data/50074_AV,.wav,ok,
RECORDS,training_data/50074_MV,.wav,ok,
RECORDS,training_data/50074_PV,.wav,ok,
RECORDS,training_data/50074_TV,.wav,ok,
RECORDS,training_data/50075_AV,.wav,ok,
RECORDS,training_data/50075_MV,.wav,ok,
RECORDS,training_data/50076_AV,.wav,ok,
RECORDS,training_data/50076_MV,.wav,ok,
RECORDS,training_data/50076_PV,.wav,ok,
RECORDS,training_data/50076_TV,.wav,ok,
RECORDS,training_data/50077_MV,.wav,ok,
RECORDS,training_data/50078_AV,.wav,ok,
RECORDS,training_data/50078_MV,.wav,ok,
RECORDS,training_data/50078_PV,.wav,ok,
RECORDS,training_data/50078_TV,.wav,ok,
RECORDS,training_data/50079_AV,.wav,ok,
RECORDS,training_data/50079_PV,.wav,ok,
RECORDS,training_data/50079_TV,.wav,ok,
RECORDS,training_data/50080_AV,.wav,ok,
RECORDS,training_data/50080_MV,.wav,ok,
RECORDS,training_data/50080_PV,.wav,ok,
RECORDS,training_data/50080_TV,.wav,ok,
RECORDS,training_data/50085_AV,.wav,ok,
RECORDS,training_data/50085_MV,.wav,ok,
RECORDS,training_data/50085_PV,.wav,ok,
RECORDS,training_data/50085_TV,.wav,ok,
RECORDS,training_data/50086_MV,.wav,ok,
RECORDS,training_data/50086_PV,.wav,ok,
RECORDS,training_data/50086_TV,.wav,ok,
RECORDS,training_data/50089_AV,.wav,ok,
RECORDS,training_data/50089_PV,.wav,ok,
RECORDS,training_data/50089_TV,.wav,ok,
RECORDS,training_data/50092_AV,.wav,ok,
RECORDS,training_data/50092_MV,.wav,ok,
RECORDS,training_data/50092_PV,.wav,ok,
RECORDS,training_data/50092_TV,.wav,ok,
RECORDS,training_data/50094_MV,.wav,ok,
RECORDS,training_data/50094_PV,.wav,ok,
RECORDS,training_data/50094_TV,.wav,ok,
RECORDS,training_data/50096_AV,.wav,ok,
RECORDS,training_data/50096_MV,.wav,ok,
RECORDS,training_data/50096_PV,.wav,ok,
RECORDS,training_data/50096_TV,.wav,ok,
RECORDS,training_data/50099_MV,.wav,ok,
RECORDS,training_data/50099_PV,.wav,ok,
RECORDS,training_data/50099_TV,.wav,ok,
RECORDS,training_data/50100_AV,.wav,ok,
RECORDS,training_data/50100_MV,.wav,ok,
RECORDS,training_data/50103_AV,.wav,ok,
RECORDS,training_data/50103_MV,.wav,ok,
RECORDS,training_data/50103_PV,.wav,ok,
RECORDS,training_data/50103_TV,.wav,ok,
RECORDS,training_data/50104_AV,.wav,ok,
RECORDS,training_data/50104_MV,.wav,ok,
RECORDS,training_data/50104_PV,.wav,ok,
RECORDS,training_data/50104_TV,.wav,ok,
RECORDS,training_data/50105_MV,.wav,ok,
RECORDS,training_data/50105_PV,.wav,ok,
RECORDS,training_data/50105_TV,.wav,ok,
RECORDS,training_data/50109_AV,.wav,ok,
RECORDS,training_data/50109_MV,.wav,ok,
RECORDS,training_data/50109_PV,.wav,ok,
RECORDS,training_data/50109_TV,.wav,ok,
RECORDS,training_data/50111_AV,.wav,ok,
RECORDS,training_data/50111_MV,.wav,ok,
RECORDS,training_data/50111_PV,.wav,ok,
RECORDS,training_data/50111_TV,.wav,ok,
RECORDS,training_data/50113_AV,.wav,ok,
RECORDS,training_data/50113_MV,.wav,ok,
RECORDS,training_data/50113_PV,.wav,ok,
RECORDS,training_data/50113_TV,.wav,ok,
RECORDS,training_data/50115_AV,.wav,ok,
RECORDS,training_data/50115_MV,.wav,ok,
RECORDS,training_data/50115_PV_1,.wav,ok,
RECORDS,training_data/50115_PV_2,.wav,ok,
RECORDS,training_data/50115_TV_1,.wav,ok,
RECORDS,training_data/50115_TV_2,.wav,ok,
RECORDS,training_data/50116_AV,.wav,ok,
RECORDS,training_data/50116_MV,.wav,ok,
RECORDS,training_data/50116_PV,.wav,ok,
RECORDS,training_data/50116_TV,.wav,ok,
RECORDS,training_data/50117_MV,.wav,ok,
RECORDS,training_data/50117_PV,.wav,ok,
RECORDS,training_data/50117_TV,.wav,ok,
RECORDS,training_data/50118_MV,.wav,ok,
RECORDS,training_data/50118_PV,.wav,ok,
RECORDS,training_data/50118_TV,.wav,ok,
RECORDS,training_data/50119_PV,.wav,ok,
RECORDS,training_data/50121_PV,.wav,ok,
RECORDS,training_data/50121_TV,.wav,ok,
RECORDS,training_data/50122_MV,.wav,ok,
RECORDS,training_data/50122_PV,.wav,ok,
RECORDS,training_data/50122_TV,.wav,ok,
RECORDS,training_data/50123_MV,.wav,ok,
RECORDS,training_data/50125_MV,.wav,ok,
RECORDS,training_data/50125_PV,.wav,ok,
RECORDS,training_data/50125_TV,.wav,ok,
RECORDS,training_data/50126_AV,.wav,ok,
RECORDS,training_data/50126_MV,.wav,ok,
RECORDS,training_data/50126_PV,.wav,ok,
RECORDS,training_data/50126_TV,.wav,ok,
RECORDS,training_data/50127_AV,.wav,ok,
RECORDS,training_data/50127_MV,.wav,ok,
RECORDS,training_data/50127_PV,.wav,ok,
RECORDS,training_data/50127_TV,.wav,ok,
RECORDS,training_data/50128_AV,.wav,ok,
RECORDS,training_data/50128_MV,.wav,ok,
RECORDS,training_data/50128_PV,.wav,ok,
RECORDS,training_data/50128_TV,.wav,ok,
RECORDS,training_data/50129_AV,.wav,ok,
RECORDS,training_data/50129_MV,.wav,ok,
RECORDS,training_data/50129_PV,.wav,ok,
RECORDS,training_data/50129_TV,.wav,ok,
RECORDS,training_data/50133_MV,.wav,ok,
RECORDS,training_data/50136_AV,.wav,ok,
RECORDS,training_data/50136_MV,.wav,ok,
RECORDS,training_data/50137_MV,.wav,ok,
RECORDS,training_data/50137_PV,.wav,ok,
RECORDS,training_data/50137_TV,.wav,ok,
RECORDS,training_data/50138_AV,.wav,ok,
