group_id,method,record_uid,dataset_source,file_path,duplicate_of,similarity,decision,reason
exact_0009,raw_sha256,D1_validation_a0009,D1,dataset/archive (3)/validation/a0009.wav,D1_training-a_a0009,1.0,drop,byte-identical to D1_training-a_a0009
exact_0010,raw_sha256,D1_training-a_a0010,D1,dataset/archive (3)/training-a/a0010.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0010,raw_sha256,D1_validation_a0010,D1,dataset/archive (3)/validation/a0010.wav,D1_training-a_a0010,1.0,drop,byte-identical to D1_training-a_a0010
exact_0011,raw_sha256,D1_training-a_a0011,D1,dataset/archive (3)/training-a/a0011.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0011,raw_sha256,D1_validation_a0011,D1,dataset/archive (3)/validation/a0011.wav,D1_training-a_a0011,1.0,drop,byte-identical to D1_training-a_a0011
exact_0012,raw_sha256,D1_training-a_a0012,D1,dataset/archive (3)/training-a/a0012.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0012,raw_sha256,D1_validation_a0012,D1,dataset/archive (3)/validation/a0012.wav,D1_training-a_a0012,1.0,drop,byte-identical to D1_training-a_a0012
exact_0013,raw_sha256,D1_training-a_a0013,D1,dataset/archive (3)/training-a/a0013.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0013,raw_sha256,D1_validation_a0013,D1,dataset/archive (3)/validation/a0013.wav,D1_training-a_a0013,1.0,drop,byte-identical to D1_training-a_a0013
exact_0014,raw_sha256,D1_training-a_a0014,D1,dataset/archive (3)/training-a/a0014.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0014,raw_sha256,D1_validation_a0014,D1,dataset/archive (3)/validation/a0014.wav,D1_training-a_a0014,1.0,drop,byte-identical to D1_training-a_a0014
exact_0015,raw_sha256,D1_training-a_a0015,D1,dataset/archive (3)/training-a/a0015.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0015,raw_sha256,D1_validation_a0015,D1,dataset/archive (3)/validation/a0015.wav,D1_training-a_a0015,1.0,drop,byte-identical to D1_training-a_a0015
exact_0016,raw_sha256,D1_training-a_a0016,D1,dataset/archive (3)/training-a/a0016.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0016,raw_sha256,D1_validation_a0016,D1,dataset/archive (3)/validation/a0016.wav,D1_training-a_a0016,1.0,drop,byte-identical to D1_training-a_a0016
exact_0017,raw_sha256,D1_training-a_a0017,D1,dataset/archive (3)/training-a/a0017.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0017,raw_sha256,D1_validation_a0017,D1,dataset/archive (3)/validation/a0017.wav,D1_training-a_a0017,1.0,drop,byte-identical to D1_training-a_a0017
exact_0018,raw_sha256,D1_training-a_a0018,D1,dataset/archive (3)/training-a/a0018.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0018,raw_sha256,D1_validation_a0018,D1,dataset/archive (3)/validation/a0018.wav,D1_training-a_a0018,1.0,drop,byte-identical to D1_training-a_a0018
exact_0019,raw_sha256,D1_training-a_a0019,D1,dataset/archive (3)/training-a/a0019.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0019,raw_sha256,D1_validation_a0019,D1,dataset/archive (3)/validation/a0019.wav,D1_training-a_a0019,1.0,drop,byte-identical to D1_training-a_a0019
exact_0020,raw_sha256,D1_training-a_a0020,D1,dataset/archive (3)/training-a/a0020.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0020,raw_sha256,D1_validation_a0020,D1,dataset/archive (3)/validation/a0020.wav,D1_training-a_a0020,1.0,drop,byte-identical to D1_training-a_a0020
exact_0021,raw_sha256,D1_training-a_a0021,D1,dataset/archive (3)/training-a/a0021.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0021,raw_sha256,D1_validation_a0021,D1,dataset/archive (3)/validation/a0021.wav,D1_training-a_a0021,1.0,drop,byte-identical to D1_training-a_a0021
exact_0022,raw_sha256,D1_training-a_a0022,D1,dataset/archive (3)/training-a/a0022.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0022,raw_sha256,D1_validation_a0022,D1,dataset/archive (3)/validation/a0022.wav,D1_training-a_a0022,1.0,drop,byte-identical to D1_training-a_a0022
exact_0023,raw_sha256,D1_training-a_a0023,D1,dataset/archive (3)/training-a/a0023.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0023,raw_sha256,D1_validation_a0023,D1,dataset/archive (3)/validation/a0023.wav,D1_training-a_a0023,1.0,drop,byte-identical to D1_training-a_a0023
exact_0024,raw_sha256,D1_training-a_a0024,D1,dataset/archive (3)/training-a/a0024.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0024,raw_sha256,D1_validation_a0024,D1,dataset/archive (3)/validation/a0024.wav,D1_training-a_a0024,1.0,drop,byte-identical to D1_training-a_a0024
exact_0025,raw_sha256,D1_training-a_a0025,D1,dataset/archive (3)/training-a/a0025.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0025,raw_sha256,D1_validation_a0025,D1,dataset/archive (3)/validation/a0025.wav,D1_training-a_a0025,1.0,drop,byte-identical to D1_training-a_a0025
exact_0026,raw_sha256,D1_training-a_a0026,D1,dataset/archive (3)/training-a/a0026.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0026,raw_sha256,D1_validation_a0026,D1,dataset/archive (3)/validation/a0026.wav,D1_training-a_a0026,1.0,drop,byte-identical to D1_training-a_a0026
exact_0027,raw_sha256,D1_training-a_a0027,D1,dataset/archive (3)/training-a/a0027.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0027,raw_sha256,D1_validation_a0027,D1,dataset/archive (3)/validation/a0027.wav,D1_training-a_a0027,1.0,drop,byte-identical to D1_training-a_a0027
exact_0028,raw_sha256,D1_training-a_a0028,D1,dataset/archive (3)/training-a/a0028.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0028,raw_sha256,D1_validation_a0028,D1,dataset/archive (3)/validation/a0028.wav,D1_training-a_a0028,1.0,drop,byte-identical to D1_training-a_a0028
exact_0029,raw_sha256,D1_training-a_a0029,D1,dataset/archive (3)/training-a/a0029.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0029,raw_sha256,D1_validation_a0029,D1,dataset/archive (3)/validation/a0029.wav,D1_training-a_a0029,1.0,drop,byte-identical to D1_training-a_a0029
exact_0030,raw_sha256,D1_training-a_a0030,D1,dataset/archive (3)/training-a/a0030.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0030,raw_sha256,D1_validation_a0030,D1,dataset/archive (3)/validation/a0030.wav,D1_training-a_a0030,1.0,drop,byte-identical to D1_training-a_a0030
exact_0031,raw_sha256,D1_training-a_a0031,D1,dataset/archive (3)/training-a/a0031.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0031,raw_sha256,D1_validation_a0031,D1,dataset/archive (3)/validation/a0031.wav,D1_training-a_a0031,1.0,drop,byte-identical to D1_training-a_a0031
exact_0032,raw_sha256,D1_training-a_a0032,D1,dataset/archive (3)/training-a/a0032.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0032,raw_sha256,D1_validation_a0032,D1,dataset/archive (3)/validation/a0032.wav,D1_training-a_a0032,1.0,drop,byte-identical to D1_training-a_a0032
exact_0033,raw_sha256,D1_training-a_a0033,D1,dataset/archive (3)/training-a/a0033.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0033,raw_sha256,D1_validation_a0033,D1,dataset/archive (3)/validation/a0033.wav,D1_training-a_a0033,1.0,drop,byte-identical to D1_training-a_a0033
exact_0034,raw_sha256,D1_training-a_a0034,D1,dataset/archive (3)/training-a/a0034.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0034,raw_sha256,D1_validation_a0034,D1,dataset/archive (3)/validation/a0034.wav,D1_training-a_a0034,1.0,drop,byte-identical to D1_training-a_a0034
exact_0035,raw_sha256,D1_training-a_a0035,D1,dataset/archive (3)/training-a/a0035.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0035,raw_sha256,D1_validation_a0035,D1,dataset/archive (3)/validation/a0035.wav,D1_training-a_a0035,1.0,drop,byte-identical to D1_training-a_a0035
exact_0036,raw_sha256,D1_training-a_a0036,D1,dataset/archive (3)/training-a/a0036.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0036,raw_sha256,D1_validation_a0036,D1,dataset/archive (3)/validation/a0036.wav,D1_training-a_a0036,1.0,drop,byte-identical to D1_training-a_a0036
exact_0037,raw_sha256,D1_training-a_a0037,D1,dataset/archive (3)/training-a/a0037.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0037,raw_sha256,D1_validation_a0037,D1,dataset/archive (3)/validation/a0037.wav,D1_training-a_a0037,1.0,drop,byte-identical to D1_training-a_a0037
exact_0038,raw_sha256,D1_training-a_a0038,D1,dataset/archive (3)/training-a/a0038.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0038,raw_sha256,D1_validation_a0038,D1,dataset/archive (3)/validation/a0038.wav,D1_training-a_a0038,1.0,drop,byte-identical to D1_training-a_a0038
exact_0039,raw_sha256,D1_training-a_a0039,D1,dataset/archive (3)/training-a/a0039.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0039,raw_sha256,D1_validation_a0039,D1,dataset/archive (3)/validation/a0039.wav,D1_training-a_a0039,1.0,drop,byte-identical to D1_training-a_a0039
exact_0040,raw_sha256,D1_training-a_a0040,D1,dataset/archive (3)/training-a/a0040.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0040,raw_sha256,D1_validation_a0040,D1,dataset/archive (3)/validation/a0040.wav,D1_training-a_a0040,1.0,drop,byte-identical to D1_training-a_a0040
exact_0041,raw_sha256,D1_training-a_a0041,D1,dataset/archive (3)/training-a/a0041.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0041,raw_sha256,D1_validation_a0041,D1,dataset/archive (3)/validation/a0041.wav,D1_training-a_a0041,1.0,drop,byte-identical to D1_training-a_a0041
exact_0042,raw_sha256,D1_training-a_a0042,D1,dataset/archive (3)/training-a/a0042.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0042,raw_sha256,D1_validation_a0042,D1,dataset/archive (3)/validation/a0042.wav,D1_training-a_a0042,1.0,drop,byte-identical to D1_training-a_a0042
exact_0043,raw_sha256,D1_training-a_a0043,D1,dataset/archive (3)/training-a/a0043.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0043,raw_sha256,D1_validation_a0043,D1,dataset/archive (3)/validation/a0043.wav,D1_training-a_a0043,1.0,drop,byte-identical to D1_training-a_a0043
exact_0044,raw_sha256,D1_training-a_a0044,D1,dataset/archive (3)/training-a/a0044.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0044,raw_sha256,D1_validation_a0044,D1,dataset/archive (3)/validation/a0044.wav,D1_training-a_a0044,1.0,drop,byte-identical to D1_training-a_a0044
exact_0045,raw_sha256,D1_training-a_a0045,D1,dataset/archive (3)/training-a/a0045.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0045,raw_sha256,D1_validation_a0045,D1,dataset/archive (3)/validation/a0045.wav,D1_training-a_a0045,1.0,drop,byte-identical to D1_training-a_a0045
exact_0046,raw_sha256,D1_training-a_a0046,D1,dataset/archive (3)/training-a/a0046.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0046,raw_sha256,D1_validation_a0046,D1,dataset/archive (3)/validation/a0046.wav,D1_training-a_a0046,1.0,drop,byte-identical to D1_training-a_a0046
exact_0047,raw_sha256,D1_training-a_a0047,D1,dataset/archive (3)/training-a/a0047.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0047,raw_sha256,D1_validation_a0047,D1,dataset/archive (3)/validation/a0047.wav,D1_training-a_a0047,1.0,drop,byte-identical to D1_training-a_a0047
exact_0048,raw_sha256,D1_training-a_a0048,D1,dataset/archive (3)/training-a/a0048.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0048,raw_sha256,D1_validation_a0048,D1,dataset/archive (3)/validation/a0048.wav,D1_training-a_a0048,1.0,drop,byte-identical to D1_training-a_a0048
exact_0049,raw_sha256,D1_training-a_a0049,D1,dataset/archive (3)/training-a/a0049.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0049,raw_sha256,D1_validation_a0049,D1,dataset/archive (3)/validation/a0049.wav,D1_training-a_a0049,1.0,drop,byte-identical to D1_training-a_a0049
exact_0050,raw_sha256,D1_training-a_a0050,D1,dataset/archive (3)/training-a/a0050.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0050,raw_sha256,D1_validation_a0050,D1,dataset/archive (3)/validation/a0050.wav,D1_training-a_a0050,1.0,drop,byte-identical to D1_training-a_a0050
exact_0051,raw_sha256,D1_training-a_a0051,D1,dataset/archive (3)/training-a/a0051.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0051,raw_sha256,D1_validation_a0051,D1,dataset/archive (3)/validation/a0051.wav,D1_training-a_a0051,1.0,drop,byte-identical to D1_training-a_a0051
exact_0052,raw_sha256,D1_training-a_a0052,D1,dataset/archive (3)/training-a/a0052.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0052,raw_sha256,D1_validation_a0052,D1,dataset/archive (3)/validation/a0052.wav,D1_training-a_a0052,1.0,drop,byte-identical to D1_training-a_a0052
exact_0053,raw_sha256,D1_training-a_a0053,D1,dataset/archive (3)/training-a/a0053.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0053,raw_sha256,D1_validation_a0053,D1,dataset/archive (3)/validation/a0053.wav,D1_training-a_a0053,1.0,drop,byte-identical to D1_training-a_a0053
exact_0054,raw_sha256,D1_training-a_a0054,D1,dataset/archive (3)/training-a/a0054.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0054,raw_sha256,D1_validation_a0054,D1,dataset/archive (3)/validation/a0054.wav,D1_training-a_a0054,1.0,drop,byte-identical to D1_training-a_a0054
exact_0055,raw_sha256,D1_training-a_a0055,D1,dataset/archive (3)/training-a/a0055.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0055,raw_sha256,D1_validation_a0055,D1,dataset/archive (3)/validation/a0055.wav,D1_training-a_a0055,1.0,drop,byte-identical to D1_training-a_a0055
exact_0056,raw_sha256,D1_training-a_a0056,D1,dataset/archive (3)/training-a/a0056.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0056,raw_sha256,D1_validation_a0056,D1,dataset/archive (3)/validation/a0056.wav,D1_training-a_a0056,1.0,drop,byte-identical to D1_training-a_a0056
exact_0057,raw_sha256,D1_training-a_a0057,D1,dataset/archive (3)/training-a/a0057.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0057,raw_sha256,D1_validation_a0057,D1,dataset/archive (3)/validation/a0057.wav,D1_training-a_a0057,1.0,drop,byte-identical to D1_training-a_a0057
exact_0058,raw_sha256,D1_training-a_a0068,D1,dataset/archive (3)/training-a/a0068.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0058,raw_sha256,D1_validation_a0068,D1,dataset/archive (3)/validation/a0068.wav,D1_training-a_a0068,1.0,drop,byte-identical to D1_training-a_a0068
exact_0059,raw_sha256,D1_training-a_a0069,D1,dataset/archive (3)/training-a/a0069.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0059,raw_sha256,D1_validation_a0069,D1,dataset/archive (3)/validation/a0069.wav,D1_training-a_a0069,1.0,drop,byte-identical to D1_training-a_a0069
exact_0060,raw_sha256,D1_training-a_a0070,D1,dataset/archive (3)/training-a/a0070.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0060,raw_sha256,D1_validation_a0070,D1,dataset/archive (3)/validation/a0070.wav,D1_training-a_a0070,1.0,drop,byte-identical to D1_training-a_a0070
exact_0061,raw_sha256,D1_training-a_a0071,D1,dataset/archive (3)/training-a/a0071.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0061,raw_sha256,D1_validation_a0071,D1,dataset/archive (3)/validation/a0071.wav,D1_training-a_a0071,1.0,drop,byte-identical to D1_training-a_a0071
exact_0062,raw_sha256,D1_training-a_a0080,D1,dataset/archive (3)/training-a/a0080.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0062,raw_sha256,D1_validation_a0080,D1,dataset/archive (3)/validation/a0080.wav,D1_training-a_a0080,1.0,drop,byte-identical to D1_training-a_a0080
exact_0063,raw_sha256,D1_training-a_a0081,D1,dataset/archive (3)/training-a/a0081.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0063,raw_sha256,D1_validation_a0081,D1,dataset/archive (3)/validation/a0081.wav,D1_training-a_a0081,1.0,drop,byte-identical to D1_training-a_a0081
exact_0064,raw_sha256,D1_training-a_a0085,D1,dataset/archive (3)/training-a/a0085.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0064,raw_sha256,D1_validation_a0085,D1,dataset/archive (3)/validation/a0085.wav,D1_training-a_a0085,1.0,drop,byte-identical to D1_training-a_a0085
exact_0065,raw_sha256,D1_training-a_a0086,D1,dataset/archive (3)/training-a/a0086.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0065,raw_sha256,D1_validation_a0086,D1,dataset/archive (3)/validation/a0086.wav,D1_training-a_a0086,1.0,drop,byte-identical to D1_training-a_a0086
exact_0066,raw_sha256,D1_training-a_a0088,D1,dataset/archive (3)/training-a/a0088.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0066,raw_sha256,D1_validation_a0088,D1,dataset/archive (3)/validation/a0088.wav,D1_training-a_a0088,1.0,drop,byte-identical to D1_training-a_a0088
exact_0067,raw_sha256,D1_training-a_a0091,D1,dataset/archive (3)/training-a/a0091.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0067,raw_sha256,D1_validation_a0091,D1,dataset/archive (3)/validation/a0091.wav,D1_training-a_a0091,1.0,drop,byte-identical to D1_training-a_a0091
exact_0068,raw_sha256,D1_training-a_a0093,D1,dataset/archive (3)/training-a/a0093.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0068,raw_sha256,D1_validation_a0093,D1,dataset/archive (3)/validation/a0093.wav,D1_training-a_a0093,1.0,drop,byte-identical to D1_training-a_a0093
exact_0069,raw_sha256,D1_training-a_a0094,D1,dataset/archive (3)/training-a/a0094.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0069,raw_sha256,D1_validation_a0094,D1,dataset/archive (3)/validation/a0094.wav,D1_training-a_a0094,1.0,drop,byte-identical to D1_training-a_a0094
exact_0070,raw_sha256,D1_training-a_a0102,D1,dataset/archive (3)/training-a/a0102.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0070,raw_sha256,D1_validation_a0102,D1,dataset/archive (3)/validation/a0102.wav,D1_training-a_a0102,1.0,drop,byte-identical to D1_training-a_a0102
exact_0071,raw_sha256,D1_training-a_a0105,D1,dataset/archive (3)/training-a/a0105.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0071,raw_sha256,D1_validation_a0105,D1,dataset/archive (3)/validation/a0105.wav,D1_training-a_a0105,1.0,drop,byte-identical to D1_training-a_a0105
exact_0072,raw_sha256,D1_training-a_a0106,D1,dataset/archive (3)/training-a/a0106.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0072,raw_sha256,D1_validation_a0106,D1,dataset/archive (3)/validation/a0106.wav,D1_training-a_a0106,1.0,drop,byte-identical to D1_training-a_a0106
exact_0073,raw_sha256,D1_training-a_a0108,D1,dataset/archive (3)/training-a/a0108.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0073,raw_sha256,D1_validation_a0108,D1,dataset/archive (3)/validation/a0108.wav,D1_training-a_a0108,1.0,drop,byte-identical to D1_training-a_a0108
exact_0074,raw_sha256,D1_training-a_a0109,D1,dataset/archive (3)/training-a/a0109.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0074,raw_sha256,D1_validation_a0109,D1,dataset/archive (3)/validation/a0109.wav,D1_training-a_a0109,1.0,drop,byte-identical to D1_training-a_a0109
exact_0075,raw_sha256,D1_training-a_a0118,D1,dataset/archive (3)/training-a/a0118.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0075,raw_sha256,D1_validation_a0118,D1,dataset/archive (3)/validation/a0118.wav,D1_training-a_a0118,1.0,drop,byte-identical to D1_training-a_a0118
exact_0076,raw_sha256,D1_training-a_a0125,D1,dataset/archive (3)/training-a/a0125.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0076,raw_sha256,D1_validation_a0125,D1,dataset/archive (3)/validation/a0125.wav,D1_training-a_a0125,1.0,drop,byte-identical to D1_training-a_a0125
exact_0077,raw_sha256,D1_training-a_a0127,D1,dataset/archive (3)/training-a/a0127.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0077,raw_sha256,D1_validation_a0127,D1,dataset/archive (3)/validation/a0127.wav,D1_training-a_a0127,1.0,drop,byte-identical to D1_training-a_a0127
exact_0078,raw_sha256,D1_training-a_a0129,D1,dataset/archive (3)/training-a/a0129.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0078,raw_sha256,D1_validation_a0129,D1,dataset/archive (3)/validation/a0129.wav,D1_training-a_a0129,1.0,drop,byte-identical to D1_training-a_a0129
exact_0079,raw_sha256,D1_training-a_a0136,D1,dataset/archive (3)/training-a/a0136.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0079,raw_sha256,D1_validation_a0136,D1,dataset/archive (3)/validation/a0136.wav,D1_training-a_a0136,1.0,drop,byte-identical to D1_training-a_a0136
exact_0080,raw_sha256,D1_training-a_a0139,D1,dataset/archive (3)/training-a/a0139.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0080,raw_sha256,D1_validation_a0139,D1,dataset/archive (3)/validation/a0139.wav,D1_training-a_a0139,1.0,drop,byte-identical to D1_training-a_a0139
exact_0081,raw_sha256,D1_training-b_b0001,D1,dataset/archive (3)/training-b/b0001.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0081,raw_sha256,D1_validation_b0001,D1,dataset/archive (3)/validation/b0001.wav,D1_training-b_b0001,1.0,drop,byte-identical to D1_training-b_b0001
exact_0082,raw_sha256,D1_training-b_b0002,D1,dataset/archive (3)/training-b/b0002.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0082,raw_sha256,D1_validation_b0002,D1,dataset/archive (3)/validation/b0002.wav,D1_training-b_b0002,1.0,drop,byte-identical to D1_training-b_b0002
exact_0083,raw_sha256,D1_training-b_b0003,D1,dataset/archive (3)/training-b/b0003.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0083,raw_sha256,D1_validation_b0003,D1,dataset/archive (3)/validation/b0003.wav,D1_training-b_b0003,1.0,drop,byte-identical to D1_training-b_b0003
exact_0084,raw_sha256,D1_training-b_b0004,D1,dataset/archive (3)/training-b/b0004.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0084,raw_sha256,D1_validation_b0004,D1,dataset/archive (3)/validation/b0004.wav,D1_training-b_b0004,1.0,drop,byte-identical to D1_training-b_b0004
exact_0085,raw_sha256,D1_training-b_b0005,D1,dataset/archive (3)/training-b/b0005.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0085,raw_sha256,D1_validation_b0005,D1,dataset/archive (3)/validation/b0005.wav,D1_training-b_b0005,1.0,drop,byte-identical to D1_training-b_b0005
exact_0086,raw_sha256,D1_training-b_b0006,D1,dataset/archive (3)/training-b/b0006.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0086,raw_sha256,D1_validation_b0006,D1,dataset/archive (3)/validation/b0006.wav,D1_training-b_b0006,1.0,drop,byte-identical to D1_training-b_b0006
exact_0087,raw_sha256,D1_training-b_b0007,D1,dataset/archive (3)/training-b/b0007.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0087,raw_sha256,D1_validation_b0007,D1,dataset/archive (3)/validation/b0007.wav,D1_training-b_b0007,1.0,drop,byte-identical to D1_training-b_b0007
exact_0088,raw_sha256,D1_training-b_b0008,D1,dataset/archive (3)/training-b/b0008.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0088,raw_sha256,D1_validation_b0008,D1,dataset/archive (3)/validation/b0008.wav,D1_training-b_b0008,1.0,drop,byte-identical to D1_training-b_b0008
