record_uid,dataset_source,subset,subject_id,subject_derived,record_id,file_path,original_fs,duration_sec,n_samples,recording_location,binary_label,multiclass_label,murmur_label,outcome_label,diagnosis_class,quality_flags,is_duplicate,is_unlabeled,split_group,dataset_name,multiclass_task,binary_label_name,multiclass_label_name,murmur_label_name,outcome_label_name,use_in_supervised,duplicate_of,n_channels,content_sha256
D1_training-a_a0011,D1,training-a,a_C37,True,a0011,dataset/archive (3)/training-a/a0011.wav,2000,35.5965,71193,,0,,,,Normal,,False,False,a_C37,PhysioNet 2016,,normal,,,,True,,1,3579feddc4a285fb8c5c49661d056eb6aa95dda6c4f08d1d263994719ace1aca
D1_training-a_a0012,D1,training-a,a_C115,True,a0012,dataset/archive (3)/training-a/a0012.wav,2000,30.8595,61719,,0,,,,Normal,,False,False,a_C115,PhysioNet 2016,,normal,,,,True,,1,9a2751cc6e4d106cb360a1c3ca70c3e803457ab4a15ad552ed6519ebb5fe81af
D1_training-a_a0013,D1,training-a,a_C49,True,a0013,dataset/archive (3)/training-a/a0013.wav,2000,35.666,71332,,1,,,,MVP,,False,False,a_C49,PhysioNet 2016,,abnormal,,,,True,,1,1c40bf20f0e32ef268347c67a88da61eda0e60531b68734b20d36ef909f31ca4
D1_training-a_a0014,D1,training-a,a_C30,True,a0014,dataset/archive (3)/training-a/a0014.wav,2000,35.736,71472,,1,,,,MVP,,False,False,a_C30,PhysioNet 2016,,abnormal,,,,True,,1,36b5b4f64b3f4c5d2f401e30c471a5908f27841bf4e2182b6a22b1fb6c8f76af
D1_training-a_a0015,D1,training-a,a_C63,True,a0015,dataset/archive (3)/training-a/a0015.wav,2000,35.736,71472,,1,,,,Benign,,False,False,a_C63,PhysioNet 2016,,abnormal,,,,True,,1,1c1ad190b37b36ff5d42fb99586326ab6198b3e1ee6dd4fbdd438e039b42e01c
D1_training-a_a0016,D1,training-a,a_C115,True,a0016,dataset/archive (3)/training-a/a0016.wav,2000,30.79,61580,,0,,,,Normal,,False,False,a_C115,PhysioNet 2016,,normal,,,,True,,1,e29f7017ab57e2d50a785775d5cbee56d5a7b2cd48a8efa738c66a01c987159e
D1_training-a_a0017,D1,training-a,a_C63,True,a0017,dataset/archive (3)/training-a/a0017.wav,2000,35.666,71332,,1,,,,Benign,,False,False,a_C63,PhysioNet 2016,,abnormal,,,,True,,1,9732aec99423277fe8b3752fe181a53a46a36264ce675798633d13aa56ac7246
D1_training-a_a0018,D1,training-a,a_C15,True,a0018,dataset/archive (3)/training-a/a0018.wav,2000,20.898,41796,,1,,,,Benign,,False,False,a_C15,PhysioNet 2016,,abnormal,,,,True,,1,fb7eff01a2438e36fe301eca40833fc74bc79019624a43541fb1da28c815684b
D1_training-a_a0019,D1,training-a,a_C115,True,a0019,dataset/archive (3)/training-a/a0019.wav,2000,30.8595,61719,,0,,,,Normal,,False,False,a_C115,PhysioNet 2016,,normal,,,,True,,1,a2a580bce1e5272aad62cd3e3735ce783abcfde2b457555785586e327d360de4
D1_training-a_a0020,D1,training-a,a_C73,True,a0020,dataset/archive (3)/training-a/a0020.wav,2000,35.666,71332,,1,,,,MVP,,False,False,a_C73,PhysioNet 2016,,abnormal,,,,True,,1,5feb576490e3cb0aafda4fbb56fa01c03e759527e210d9c1b8b6f2516ff10698
D1_training-a_a0021,D1,training-a,a_C89,True,a0021,dataset/archive (3)/training-a/a0021.wav,2000,35.5965,71193,,1,,,,MVP,,False,False,a_C89,PhysioNet 2016,,abnormal,,,,True,,1,13b5087132e620f9257f4a5542dc71bdaf498a68062970d6c5828ad2345f3fbc
D1_training-a_a0022,D1,training-a,a_C68,True,a0022,dataset/archive (3)/training-a/a0022.wav,2000,36.1535,72307,,1,,,,MVP,,False,False,a_C68,PhysioNet 2016,,abnormal,,,,True,,1,6d1062560b9357092b5e3d1ec48391e99aa7a3a2c03ebafa912b49fdbcc0d838
D1_training-a_a0023,D1,training-a,a_C23,True,a0023,dataset/archive (3)/training-a/a0023.wav,2000,30.581,61162,,1,,,,MVP,,False,False,a_C23,PhysioNet 2016,,abnormal,,,,True,,1,fe585673bb937e5228b29d8bdd48f2ba206ae8ae3b301195fbdb68bf034f9f44
D1_training-a_a0024,D1,training-a,a_C19,True,a0024,dataset/archive (3)/training-a/a0024.wav,2000,20.689,41378,,1,,,,MVP,,False,False,a_C19,PhysioNet 2016,,abnormal,,,,True,,1,06b815af355f1bc52d3d79e705f50fa3ef09bd2befabf3da904fec366bc674bd
D1_training-a_a0025,D1,training-a,a_C115,True,a0025,dataset/archive (3)/training-a/a0025.wav,2000,31.138,62276,,0,,,,Normal,,False,False,a_C115,PhysioNet 2016,,normal,,,,True,,1,b7a095ec7dbae6a92c33c934554d8a15e1c733165aea89627cd3c5ee6ae58ecd
D1_training-a_a0026,D1,training-a,a_C71,True,a0026,dataset/archive (3)/training-a/a0026.wav,2000,35.5965,71193,,1,,,,Benign,,False,False,a_C71,PhysioNet 2016,,abnormal,,,,True,,1,b288b275d5d4cecacf6f3608f44f9d16dc3406d96f31d50a0b2c4f82bc5de3b4
D1_training-a_a0027,D1,training-a,a_C115,True,a0027,dataset/archive (3)/training-a/a0027.wav,2000,31.138,62276,,0,,,,Normal,,False,False,a_C115,PhysioNet 2016,,normal,,,,True,,1,ba6039b3f74c0041a9758b2156049b2cb21cfc63efc8050fa07f066da8ea41dc
D1_training-a_a0028,D1,training-a,a_C115,True,a0028,dataset/archive (3)/training-a/a0028.wav,2000,30.8595,61719,,0,,,,Normal,,False,False,a_C115,PhysioNet 2016,,normal,,,,True,,1,6d64091eef05a64584ff33580788b121f705df2f5979dec33a59e0ba73ddbbcc
D1_training-a_a0029,D1,training-a,a_C115,True,a0029,dataset/archive (3)/training-a/a0029.wav,2000,30.72,61440,,0,,,,Normal,,False,False,a_C115,PhysioNet 2016,,normal,,,,True,,1,599937ca93f8fdce91d741a55ee6a73aaa7247cc5b78a1dbd969a344a19b09a4
D1_training-a_a0030,D1,training-a,a_C36,True,a0030,dataset/archive (3)/training-a/a0030.wav,2000,36.2235,72447,,1,,,,MVP,,False,False,a_C36,PhysioNet 2016,,abnormal,,,,True,,1,5d2e44579fe5dbb880c916e06edca499d77e43f4678f635c947a7140cc69cbda
D1_training-a_a0031,D1,training-a,a_C67,True,a0031,dataset/archive (3)/training-a/a0031.wav,2000,35.5965,71193,,1,,,,MVP,,False,False,a_C67,PhysioNet 2016,,abnormal,,,,True,,1,e479e02eaa59e5e9e7d4a8716d17ca539c3862f5436080c479ecfcd78a44b4d9
D1_training-a_a0032,D1,training-a,a_C74,True,a0032,dataset/archive (3)/training-a/a0032.wav,2000,35.666,71332,,0,,,,Normal,,False,False,a_C74,PhysioNet 2016,,normal,,,,True,,1,99c56ee6898d370061b3b00ddd0de623efc8bc76c65abeb05ac8b5d9e29430a7
D1_training-a_a0033,D1,training-a,a_C32,True,a0033,dataset/archive (3)/training-a/a0033.wav,2000,35.666,71332,,1,,,,MVP,,False,False,a_C32,PhysioNet 2016,,abnormal,,,,True,,1,ae8ed8adf67140ddfb4ac5b03f2824241c0131bdc300ed547c087c6e2188e43e
D1_training-a_a0034,D1,training-a,a_C115,True,a0034,dataset/archive (3)/training-a/a0034.wav,2000,30.581,61162,,1,,,,Benign,,False,False,a_C115,PhysioNet 2016,,abnormal,,,,True,,1,a9f4b82a902a35a08c9fce706db70b43af88fdb559c86dd6a6856bf71a9ed8bb
D1_training-a_a0035,D1,training-a,a_C13,True,a0035,dataset/archive (3)/training-a/a0035.wav,2000,28.9825,57965,,0,,,,Normal,,False,False,a_C13,PhysioNet 2016,,normal,,,,True,,1,b4673efd87c4a5d0fadd9423f3e61d8633348de02c49029005051237d25a2e9d
D1_training-a_a0036,D1,training-a,a_C67,True,a0036,dataset/archive (3)/training-a/a0036.wav,2000,35.9445,71889,,1,,,,MVP,,False,False,a_C67,PhysioNet 2016,,abnormal,,,,True,,1,f15e4be5ba6422104e3f473958b35f4e2401ff4075b2bdcddae6cd7fb201fad3
D1_training-a_a0037,D1,training-a,a_C35,True,a0037,dataset/archive (3)/training-a/a0037.wav,2000,35.736,71472,,1,,,,MPC,,False,False,a_C35,PhysioNet 2016,,abnormal,,,,True,,1,4a8b5f020726353c230160e0229c961da28dcc69968cb4e48284d574c1709fbd
D1_training-a_a0038,D1,training-a,a_C90,True,a0038,dataset/archive (3)/training-a/a0038.wav,2000,34.63,69260,,0,,,,Normal,,False,False,a_C90,PhysioNet 2016,,normal,,,,True,,1,6c21a821c19c45fdec080b60f22337ea05bf04cf116860a6353c7d10befdd8bf
D1_training-a_a0039,D1,training-a,a_C37,True,a0039,dataset/archive (3)/training-a/a0039.wav,2000,30.72,61440,,1,,,,Benign,,False,False,a_C37,PhysioNet 2016,,abnormal,,,,True,,1,8325eed7ec5d343170cbb6d4ba30705f3ff81a4a8f4237a8f6b0efca3f3e5342
D1_training-a_a0040,D1,training-a,a_C73,True,a0040,dataset/archive (3)/training-a/a0040.wav,2000,35.666,71332,,1,,,,MVP,,False,False,a_C73,PhysioNet 2016,,abnormal,,,,True,,1,320946821c4aa2f80597b5b5668041cec50efc5b239120dd813fa98f02d53e91
D1_training-a_a0041,D1,training-a,a_C51,True,a0041,dataset/archive (3)/training-a/a0041.wav,2000,35.109,70218,,1,,,,MVP,,False,False,a_C51,PhysioNet 2016,,abnormal,,,,True,,1,d9671a364660996013871b1a98149313e2678902087dde43c64348a1981bc352
D1_training-a_a0042,D1,training-a,a_C82,True,a0042,dataset/archive (3)/training-a/a0042.wav,2000,36.1535,72307,,1,,,,MPC,,False,False,a_C82,PhysioNet 2016,,abnormal,,,,True,,1,01a8c6be02d2fc1237750251b93ec586839b23c885e4ad77b6ebd3bb49e21b48
D1_training-a_a0043,D1,training-a,a_C31,True,a0043,dataset/archive (3)/training-a/a0043.wav,2000,35.5965,71193,,1,,,,Benign,,False,False,a_C31,PhysioNet 2016,,abnormal,,,,True,,1,5aa000bd3f04f0bd49dab691bfe9fe709908067dfaef80915ab597f0034b4b32
D1_training-a_a0044,D1,training-a,a_C16,True,a0044,dataset/archive (3)/training-a/a0044.wav,2000,30.6505,61301,,1,,,,AD,,False,False,a_C16,PhysioNet 2016,,abnormal,,,,True,,1,45181ef8ab5b7169be682fadf0188b81cc411767e0f7f44ef63baa2607b61c62
D1_training-a_a0045,D1,training-a,a_C30,True,a0045,dataset/archive (3)/training-a/a0045.wav,2000,35.875,71750,,1,,,,MVP,,False,False,a_C30,PhysioNet 2016,,abnormal,,,,True,,1,266ef6f7ecc2abbe3373786822e22b456823301dc2fa7b5d1594fe3fb2b2e488
D1_training-a_a0046,D1,training-a,a_C35,True,a0046,dataset/archive (3)/training-a/a0046.wav,2000,35.736,71472,,1,,,,Benign,,False,False,a_C35,PhysioNet 2016,,abnormal,,,,True,,1,32726a2f4e5d1e0264d9ac6b72a7b46ee5e5b8f91296b5909e71268dc5167974
D1_training-a_a0047,D1,training-a,a_C89,True,a0047,dataset/archive (3)/training-a/a0047.wav,2000,35.5965,71193,,1,,,,MVP,,False,False,a_C89,PhysioNet 2016,,abnormal,,,,True,,1,dec12d6e4157e278cdbb2ab95fdbbcfde90a7763dc06a98f465cb62155578a8c
D1_training-a_a0048,D1,training-a,a_C79,True,a0048,dataset/archive (3)/training-a/a0048.wav,2000,36.2235,72447,,1,,,,MPC,,False,False,a_C79,PhysioNet 2016,,abnormal,,,,True,,1,9dba356974dfc577cab0aab400adbf1fca73c645f0973e9e0c23c072ce2e0c5b
D1_training-a_a0049,D1,training-a,a_C115,True,a0049,dataset/archive (3)/training-a/a0049.wav,2000,30.8595,61719,,0,,,,Normal,,False,False,a_C115,PhysioNet 2016,,normal,,,,True,,1,09de3e98d9c94a2595bc2e8b9740d6ae95ced35aa6a8051aa700cb339041e152
D1_training-a_a0050,D1,training-a,a_C115,True,a0050,dataset/archive (3)/training-a/a0050.wav,2000,30.6505,61301,,0,,,,Normal,,False,False,a_C115,PhysioNet 2016,,normal,,,,True,,1,4bde5f4bfe41d92022019552e7c6dc86998cba0a541837ade78ca111b952ce3f
D1_training-a_a0051,D1,training-a,a_C47,True,a0051,dataset/archive (3)/training-a/a0051.wav,2000,35.5965,71193,,1,,,,MVP,,False,False,a_C47,PhysioNet 2016,,abnormal,,,,True,,1,a485a53717773940c8e6643d809084b3ca6f3015f15b3e9ef107bfb51190bf63
D1_training-a_a0052,D1,training-a,a_C33,True,a0052,dataset/archive (3)/training-a/a0052.wav,2000,35.736,71472,,1,,,,Benign,,False,False,a_C33,PhysioNet 2016,,abnormal,,,,True,,1,ec422060de60024b90f5b50ec8f2fd5dff84b90e4fc8af7be6f123b95e4ea0e2
D1_training-a_a0053,D1,training-a,a_C74,True,a0053,dataset/archive (3)/training-a/a0053.wav,2000,35.875,71750,,0,,,,Normal,,False,False,a_C74,PhysioNet 2016,,normal,,,,True,,1,a817187c867d7c166b332eaefd600f4d93bd61526f6f1c4341f7e215b0870c21
D1_training-a_a0054,D1,training-a,a_C63,True,a0054,dataset/archive (3)/training-a/a0054.wav,2000,35.666,71332,,1,,,,Benign,,False,False,a_C63,PhysioNet 2016,,abnormal,,,,True,,1,4e3916cf62d4276d932dacd2216b8287130361c798a8566242bd9b90e2b7213c
D1_training-a_a0055,D1,training-a,a_C37,True,a0055,dataset/archive (3)/training-a/a0055.wav,2000,35.666,71332,,0,,,,Normal,,False,False,a_C37,PhysioNet 2016,,normal,,,,True,,1,708f8f3b0c78507e0ddd90af3b8a0c654777c88cb63b26d6bd40f46e222fbbe2
D1_training-a_a0056,D1,training-a,a_C37,True,a0056,dataset/archive (3)/training-a/a0056.wav,2000,30.79,61580,,1,,,,Benign,,False,False,a_C37,PhysioNet 2016,,abnormal,,,,True,,1,49ca0ed21fb0663bf724954523e6c6a9659cc2d478f14f96b56589f05c94126b
D1_training-a_a0057,D1,training-a,a_C79,True,a0057,dataset/archive (3)/training-a/a0057.wav,2000,35.9445,71889,,1,,,,MPC,,False,False,a_C79,PhysioNet 2016,,abnormal,,,,True,,1,8416a9afe0a40cf50e0258fba3cfe9b55be4e11ae278bfb94e83253d582316f9
D1_training-a_a0058,D1,training-a,a_C16,True,a0058,dataset/archive (3)/training-a/a0058.wav,2000,20.6195,41239,,1,,,,Benign,,False,False,a_C16,PhysioNet 2016,,abnormal,,,,True,,1,f3c9bec9b58a857b7b24d31957a10d23a651127ae36e700d1b219a261a880e27
D1_training-a_a0059,D1,training-a,a_C68,True,a0059,dataset/archive (3)/training-a/a0059.wav,2000,35.666,71332,,1,,,,MVP,,False,False,a_C68,PhysioNet 2016,,abnormal,,,,True,,1,568bf601558fd311b096de7aad98d97460676de7995c95752257435220abfc2e
D1_training-a_a0060,D1,training-a,a_C35,True,a0060,dataset/archive (3)/training-a/a0060.wav,2000,35.666,71332,,1,,,,Benign,,False,False,a_C35,PhysioNet 2016,,abnormal,,,,True,,1,d67a0bc2580b2803faab738a6d042e53051e3909b0d89d71aacb79d96fa07729
D1_training-a_a0061,D1,training-a,a_C115,True,a0061,dataset/archive (3)/training-a/a0061.wav,2000,30.79,61580,,1,,,,Benign,,False,False,a_C115,PhysioNet 2016,,abnormal,,,,True,,1,35e4a4b9737d83be1d2ba5529c1e5e23ecf9daa88ef9a05f542be2b8309d69ec
D1_training-a_a0062,D1,training-a,a_C89,True,a0062,dataset/archive (3)/training-a/a0062.wav,2000,36.084,72168,,1,,,,MVP,,False,False,a_C89,PhysioNet 2016,,abnormal,,,,True,,1,fcf1eca603147c41a586138376debb833725a54a44909592de662a8efc706682
D1_training-a_a0063,D1,training-a,a_C86,True,a0063,dataset/archive (3)/training-a/a0063.wav,2000,35.666,71332,,1,,,,Benign,,False,False,a_C86,PhysioNet 2016,,abnormal,,,,True,,1,18b3b9b05c5d9f28b717cc56553076fa5eb82cbe111641a9f7240ed50db2d2e4
D1_training-a_a0064,D1,training-a,a_C73,True,a0064,dataset/archive (3)/training-a/a0064.wav,2000,35.5965,71193,,1,,,,MVP,,False,False,a_C73,PhysioNet 2016,,abnormal,,,,True,,1,dde8231c60a929343c0bb7d225ba467d1f42c5a2b47bf98d8508ba2796f6f60a
D1_training-a_a0065,D1,training-a,a_C82,True,a0065,dataset/archive (3)/training-a/a0065.wav,2000,35.736,71472,,1,,,,MPC,,False,False,a_C82,PhysioNet 2016,,abnormal,,,,True,,1,60a3a45048bcad2f89207cbf2871555a4ac3c3de81d24a999ded691453238f57
D1_training-a_a0066,D1,training-a,a_C67,True,a0066,dataset/archive (3)/training-a/a0066.wav,2000,35.5965,71193,,1,,,,MVP,,False,False,a_C67,PhysioNet 2016,,abnormal,,,,True,,1,b8fdd0c0b4c1fceed29a92c084bc69c4f3d652adc55f1bb1b9c6d446ec15e52e
D1_training-a_a0067,D1,training-a,a_C16,True,a0067,dataset/archive (3)/training-a/a0067.wav,2000,20.8285,41657,,1,,,,AD,,False,False,a_C16,PhysioNet 2016,,abnormal,,,,True,,1,486991b05a9a3c5244c6052090e961f4ecb033b0f47b9aaa7a099f6a90efe10f
D1_training-a_a0068,D1,training-a,a_C35,True,a0068,dataset/archive (3)/training-a/a0068.wav,2000,35.736,71472,,0,,,,Normal,,False,False,a_C35,PhysioNet 2016,,normal,,,,True,,1,3bd5c80cb87c199ba1d17c7ceb1fe2016b9e9faebae2d9875dc195252b9b30cd
D1_training-a_a0069,D1,training-a,a_C115,True,a0069,dataset/archive (3)/training-a/a0069.wav,2000,30.999,61998,,0,,,,Normal,,False,False,a_C115,PhysioNet 2016,,normal,,,,True,,1,b750c94c104c365ae25e56cef14c7734c8aad36e39bde4bc6ccaccf366626b0e
D1_training-a_a0070,D1,training-a,a_C115,True,a0070,dataset/archive (3)/training-a/a0070.wav,2000,30.79,61580,,0,,,,Normal,,False,False,a_C115,PhysioNet 2016,,normal,,,,True,,1,44934b5b2fae9e7da4a6c5124a9a72d707272d60065cd21141543446b7a09648
D1_training-a_a0071,D1,training-a,a_C115,True,a0071,dataset/archive (3)/training-a/a0071.wav,2000,29.6295,59259,,0,,,,Normal,,False,False,a_C115,PhysioNet 2016,,normal,,,,True,,1,0616bb3b88cb191d9610fd143924e0b0b196b56da83e2c0b52ca3f8801097954
D1_training-a_a0072,D1,training-a,a_C79,True,a0072,dataset/archive (3)/training-a/a0072.wav,2000,36.293,72586,,1,,,,MPC,,False,False,a_C79,PhysioNet 2016,,abnormal,,,,True,,1,c0f58ce87a15c098297ea5e6c30a5eb85a1f2d13f28edb4a63c34a5b8840b9a6
D1_training-a_a0073,D1,training-a,a_C63,True,a0073,dataset/archive (3)/training-a/a0073.wav,2000,35.666,71332,,1,,,,MVP,,False,False,a_C63,PhysioNet 2016,,abnormal,,,,True,,1,0629f04f8212eef28b432b7247a292051204727d10c0c7d89127548c1fc251d7
D1_training-a_a0074,D1,training-a,a_C47,True,a0074,dataset/archive (3)/training-a/a0074.wav,2000,35.5965,71193,,1,,,,MVP,,False,False,a_C47,PhysioNet 2016,,abnormal,,,,True,,1,c683d843c78219fba461422aedefde655d209abf49907a763803bd2f2b78d687
D1_training-a_a0075,D1,training-a,a_C36,True,a0075,dataset/archive (3)/training-a/a0075.wav,2000,35.736,71472,,1,,,,MVP,,False,False,a_C36,PhysioNet 2016,,abnormal,,,,True,,1,7997b7cc505943f50cd414480c7982098021054d89be88b8c0d1b2a086ddc3e3
D1_training-a_a0076,D1,training-a,a_C69,True,a0076,dataset/archive (3)/training-a/a0076.wav,2000,35.666,71332,,1,,,,Benign,,False,False,a_C69,PhysioNet 2016,,abnormal,,,,True,,1,7c9dfbda62800ca63aedbe5818ff14fe3907ba5301fa648430dcd94d7b20237d
D1_training-a_a0077,D1,training-a,a_C63,True,a0077,dataset/archive (3)/training-a/a0077.wav,2000,35.736,71472,,1,,,,Benign,,False,False,a_C63,PhysioNet 2016,,abnormal,,,,True,,1,dced552a54a36e8f364794487c8082830ae1f096cf72f086ef54607f51c4a6e9
D1_training-a_a0078,D1,training-a,a_C32,True,a0078,dataset/archive (3)/training-a/a0078.wav,2000,35.736,71472,,1,,,,MVP,,False,False,a_C32,PhysioNet 2016,,abnormal,,,,True,,1,5b59315f6baf7a60789eaeed1aeee511ec6613f4091bbe6c9570d0819f4a618c
D1_training-a_a0079,D1,training-a,a_C37,True,a0079,dataset/archive (3)/training-a/a0079.wav,2000,30.6505,61301,,1,,,,Benign,,False,False,a_C37,PhysioNet 2016,,abnormal,,,,True,,1,bc2cdd204f81cdb1293ecc322ffaaab5207dcb3f3203f679e3c3e672ad946f9f
D1_training-a_a0080,D1,training-a,a_C115,True,a0080,dataset/archive (3)/training-a/a0080.wav,2000,30.999,61998,,0,,,,Normal,,False,False,a_C115,PhysioNet 2016,,normal,,,,True,,1,82e9b38d4ccaec85a1245c13dbd7ef10738002fb758b576182df2c9e92adc08e
D1_training-a_a0081,D1,training-a,a_C90,True,a0081,dataset/archive (3)/training-a/a0081.wav,2000,35.666,71332,,0,,,,Normal,,False,False,a_C90,PhysioNet 2016,,normal,,,,True,,1,81d294d48d08ae716bd0f2b3e3085b59ae47d3b14a95790261c4f758d5228f57
D1_training-a_a0082,D1,training-a,a_C16,True,a0082,dataset/archive (3)/training-a/a0082.wav,2000,30.6505,61301,,1,,,,AD,,False,False,a_C16,PhysioNet 2016,,abnormal,,,,True,,1,b6c78cd0a5056871333d4619b280ade2bf873a0d870ee33d1ac4dfa3d3497eba
D1_training-a_a0083,D1,training-a,a_C36,True,a0083,dataset/archive (3)/training-a/a0083.wav,2000,35.666,71332,,1,,,,MVP,,False,False,a_C36,PhysioNet 2016,,abnormal,,,,True,,1,00f355d37eb65a8d67cf44155907f02e1f8a96880106501c911bb143d07ed0d9
D1_training-a_a0084,D1,training-a,a_C16,True,a0084,dataset/archive (3)/training-a/a0084.wav,2000,30.79,61580,,1,,,,Benign,,False,False,a_C16,PhysioNet 2016,,abnormal,,,,True,,1,dbd9f6ba729c6b7b065debea668ec53d811d16db7efb5d8eb46c2bda7ec017fc
D1_training-a_a0085,D1,training-a,a_C115,True,a0085,dataset/archive (3)/training-a/a0085.wav,2000,30.8595,61719,,0,,,,Normal,,False,False,a_C115,PhysioNet 2016,,normal,,,,True,,1,0266f4d253cfc9cc3e7c62254a4f620eaf4048364359d4af7dcd752959258cc9
D1_training-a_a0086,D1,training-a,a_C90,True,a0086,dataset/archive (3)/training-a/a0086.wav,2000,36.2235,72447,,0,,,,Normal,,False,False,a_C90,PhysioNet 2016,,normal,,,,True,,1,661fc08d3022c5232ecb5f173a799bd1d7cc235fd58ffa0c43809bf4b8d3a290
D1_training-a_a0087,D1,training-a,a_C15,True,a0087,dataset/archive (3)/training-a/a0087.wav,2000,20.6195,41239,,1,,,,Benign,,False,False,a_C15,PhysioNet 2016,,abnormal,,,,True,,1,2b3577c2f73bbdfa33e0890af78d29e317d4e57cc2db88267a6d9804b8aaca20
D1_training-a_a0088,D1,training-a,a_C63,True,a0088,dataset/archive (3)/training-a/a0088.wav,2000,36.0145,72029,,0,,,,Normal,,False,False,a_C63,PhysioNet 2016,,normal,,,,True,,1,84120bf5bad2a9bf2fe64fff573cd3649c824458c296f7cacccde29e9ceec4f8
D1_training-a_a0089,D1,training-a,a_C12,True,a0089,dataset/archive (3)/training-a/a0089.wav,2000,20.968,41936,,1,,,,AD,,False,False,a_C12,PhysioNet 2016,,abnormal,,,,True,,1,a31fb5cab94876c7be9fc835b37704abd092e9345916a77d35f7585fa31967a1
D1_training-a_a0090,D1,training-a,a_C84,True,a0090,dataset/archive (3)/training-a/a0090.wav,2000,20.4105,40821,,1,,,,MVP,,False,False,a_C84,PhysioNet 2016,,abnormal,,,,True,,1,c59d6bee08cd0c4a572e25d04cf4c4880b42223dfe96691d547fb012304addcb
D1_training-a_a0091,D1,training-a,a_C115,True,a0091,dataset/archive (3)/training-a/a0091.wav,2000,30.6505,61301,,0,,,,Normal,,False,False,a_C115,PhysioNet 2016,,normal,,,,True,,1,3174590c7ae424490169665ddbe2823869f30d853d422f6455ea6985a95697c0
D1_training-a_a0092,D1,training-a,a_C36,True,a0092,dataset/archive (3)/training-a/a0092.wav,2000,35.875,71750,,1,,,,MVP,,False,False,a_C36,PhysioNet 2016,,abnormal,,,,True,,1,d3243279e55581a6c3ac8ffa6bce73dce850868a9b48ba5ec4e9bd0699a2ad8d
